"resolvedPlantNames","Family","Genus","Species","scientificName","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes"
"Monolepis nuttalliana","Chenopodiaceae","Monolepis","nuttalliana","Monolepis nuttalliana","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Salicornia pacifica","Chenopodiaceae","Salicornia","pacifica","Salicornia pacifica",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Salsola australis","Chenopodiaceae","Salsola","australis","Salsola australis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,NA
"Suaeda taxifolia","Chenopodiaceae","Suaeda","taxifolia","Suaeda taxifolia","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Crocanthemum greenei","Cistaceae","Crocanthemum","greenei","Crocanthemum greenei","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Crocanthemum scoparium","Cistaceae","Crocanthemum","scoparium","Crocanthemum scoparium","determinate",0,1,0,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Calystegia macrostegia","Convolvulaceae","Calystegia","macrostegia","Calystegia macrostegia subsp. macrostegia","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,NA
"Calystegia soldanella","Convolvulaceae","Calystegia","soldanella","Calystegia soldanella","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis","Convolvulus arvensis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"Convolvulus simulans","Convolvulaceae","Convolvulus","simulans","Convolvulus simulans","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Cressa truxillensis","Convolvulaceae","Cressa","truxillensis","Cressa truxillensis","indeterminate",1,0,0,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"Cuscuta pacifica","Convolvulaceae","Cuscuta","pacifica","Cuscuta pacifica var. pacifica","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Cuscuta subinclusa","Convolvulaceae","Cuscuta","subinclusa","Cuscuta subinclusa","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"Dichondra occidentalis","Convolvulaceae","Dichondra","occidentalis","Dichondra occidentalis","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Crassula connata","Crassulaceae","Crassula","connata","Crassula connata","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Dudleya blochmaniae","Crassulaceae","Dudleya","blochmaniae","Dudleya blochmaniae ssp. blochmaniae","determinate",0,1,0,"double cyme","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Dudleya candelabrum","Crassulaceae","Dudleya","candelabrum","Dudleya candelabrum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Dudleya greenei","Crassulaceae","Dudleya","greenei","Dudleya greenei","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"Dudleya nesiotica","Crassulaceae","Dudleya","nesiotica","Dudleya nesiotica","determinate",0,1,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Cucurbita foetidissima","Cucurbitaceae","Cucurbita","foetidissima","Cucurbita foetidissima","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"Marah fabacea","Cucurbitaceae","Marah","fabacea","Marah fabacea","indeterminate",1,0,0,"racemose","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Marah macrocarpa","Cucurbitaceae","Marah","macrocarpa","Marah macrocarpa","indeterminate",1,0,0,"racemose","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,NA
"Arbutus menziesii","Ericaceae","Arbutus","menziesii","Arbutus menziesii","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Arctostaphylos insularis","Ericaceae","Arctostaphylos","insularis","Arctostaphylos insularis","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,NA
"Arctostaphylos viridissima","Ericaceae","Arctostaphylos","viridissima","Arctostaphylos viridissima","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,NA
"Comarostaphylis diversifolia","Ericaceae","Comarostaphylis","diversifolia","Comarostaphylis diversifolia subsp. planifolia","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Vaccinium ovatum","Ericaceae","Vaccinium","ovatum","Vaccinium ovatum","determinate",0,1,0,"botryoid","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Croton setiger","Euphorbiaceae","Croton","setiger","Croton setiger","indeterminate",1,0,0,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Euphorbia maculata","Euphorbiaceae","Euphorbia","maculata","Euphorbia maculata","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"Euphorbia misera","Euphorbiaceae","Euphorbia","misera","Euphorbia misera","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"red",0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,NA
"Euphorbia peplus","Euphorbiaceae","Euphorbia","peplus","Euphorbia peplus","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,NA
"Euphorbia spathulata","Euphorbiaceae","Euphorbia","spathulata","Euphorbia spathulata","determinate",0,1,0,"fascicle","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Acacia melanoxylon","Fabaceae","Acacia","melanoxylon","Acacia melanoxylon","compound",0,0,1,"racemose","radial",1,0,NA,0,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Acmispon americanus","Fabaceae","Acmispon","americanus","Acmispon americanus var. americanus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Acmispon argophyllus","Fabaceae","Acmispon","argophyllus","Acmispon argophyllus var. niveus","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Acmispon brachycarpus","Fabaceae","Acmispon","brachycarpus","Acmispon brachycarpus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Acmispon dendroideus","Fabaceae","Acmispon","dendroideus","Acmispon dendroideus var. dendroideus","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,NA
"Acmispon grandiflorus","Fabaceae","Acmispon","grandiflorus","Acmispon grandiflorus var. grandiflorus","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Acmispon maritimus","Fabaceae","Acmispon","maritimus","Acmispon maritimus var. maritimus","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Acmispon micranthus","Fabaceae","Acmispon","micranthus","Acmispon micranthus","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Acmispon parviflorus","Fabaceae","Acmispon","parviflorus","Acmispon parviflorus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Acmispon strigosus","Fabaceae","Acmispon","strigosus","Acmispon strigosus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Acmispon wrangelianus","Fabaceae","Acmispon","wrangelianus","Acmispon wrangelianus","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Albizia lophantha","Fabaceae","Albizia","lophantha","Albizia lophantha","indeterminate",1,0,0,"racemose","bilateral",0,1,NA,0,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"Astragalus didymocarpus","Fabaceae","Astragalus","didymocarpus","Astragalus didymocarpus var. didymocarpus","indeterminate",1,0,0,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Astragalus gambelianus","Fabaceae","Astragalus","gambelianus","Astragalus gambelianus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Astragalus miguelensis","Fabaceae","Astragalus","miguelensis","Astragalus miguelensis","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Astragalus trichopodus","Fabaceae","Astragalus","trichopodus","Astragalus trichopodus var. lonchus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Lathyrus vestitus","Fabaceae","Lathyrus","vestitus","Lathyrus vestitus var. vestitus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Lotus corniculatus","Fabaceae","Lotus","corniculatus","Lotus corniculatus","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"Lupinus arboreus","Fabaceae","Lupinus","arboreus","Lupinus arboreus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Lupinus bicolor","Fabaceae","Lupinus","bicolor","Lupinus bicolor","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Lupinus concinnus","Fabaceae","Lupinus","concinnus","Lupinus concinnus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Lupinus hirsutissimus","Fabaceae","Lupinus","hirsutissimus","Lupinus hirsutissimus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Lupinus microcarpus","Fabaceae","Lupinus","microcarpus","Lupinus microcarpus var. microcarpus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"Lupinus succulentus","Fabaceae","Lupinus","succulentus","Lupinus succulentus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Lupinus truncatus","Fabaceae","Lupinus","truncatus","Lupinus truncatus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Medicago polymorpha","Fabaceae","Medicago","polymorpha","Medicago polymorpha","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Medicago sativa","Fabaceae","Medicago","sativa","Medicago sativa","indeterminate",1,0,0,"racemose","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"Melilotus albus","Fabaceae","Melilotus","albus","Melilotus albus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Melilotus indicus","Fabaceae","Melilotus","indicus","Melilotus indicus","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA
"Pickeringia montana","Fabaceae","Pickeringia","montana","Pickeringia montana var. montana","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"Pisum sativum","Fabaceae","Pisum","sativum","Pisum sativum","determinate",0,1,0,"solitary","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Robinia pseudoacacia","Fabaceae","Robinia","pseudoacacia","Robinia pseudoacacia","determinate",0,1,0,"botryoid","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Spartium junceum","Fabaceae","Spartium","junceum","Spartium junceum","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Trifolium albopurpureum","Fabaceae","Trifolium","albopurpureum","Trifolium albopurpureum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Trifolium ciliolatum","Fabaceae","Trifolium","ciliolatum","Trifolium ciliolatum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Trifolium depauperatum","Fabaceae","Trifolium","depauperatum","Trifolium depauperatum var. truncatum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Trifolium fucatum","Fabaceae","Trifolium","fucatum","Trifolium fucatum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Trifolium gracilentum","Fabaceae","Trifolium","gracilentum","Trifolium gracilentum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Trifolium macraei","Fabaceae","Trifolium","macraei","Trifolium macraei","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Trifolium microcephalum","Fabaceae","Trifolium","microcephalum","Trifolium microcephalum","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Trifolium variegatum","Fabaceae","Trifolium","variegatum","Trifolium variegatum var. major","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Trifolium willdenovii","Fabaceae","Trifolium","willdenovii","Trifolium willdenovii","compound",0,0,1,"head","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Vicia americana","Fabaceae","Vicia","americana","Vicia americana subsp. americana","determinate",0,1,0,"cluster","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"Vicia benghalensis","Fabaceae","Vicia","benghalensis","Vicia benghalensis","determinate",0,1,0,"drepanium","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Vicia hassei","Fabaceae","Vicia","hassei","Vicia hassei","determinate",0,1,0,"cyme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Vicia ludoviciana","Fabaceae","Vicia","ludoviciana","Vicia ludoviciana subsp. ludoviciana","determinate",0,1,0,"cyme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Vicia sativa","Fabaceae","Vicia","sativa","Vicia sativa subsp. sativa","determinate",0,1,0,"fascicle","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Quercus agrifolia","Fagaceae","Quercus","agrifolia","Quercus agrifolia var. agrifolia",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"Quercus kelloggii","Fagaceae","Quercus","kelloggii","Quercus kelloggii",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"Quercus lobata","Fagaceae","Quercus","lobata","Quercus lobata",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"Quercus pacifica","Fagaceae","Quercus","pacifica","Quercus pacifica",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
"Quercus parvula","Fagaceae","Quercus","parvula","Quercus parvula var. parvula",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Quercus tomentella","Fagaceae","Quercus","tomentella","Quercus tomentella",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Frankenia salina","Frankeniaceae","Frankenia","salina","Frankenia salina","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Garrya veatchii","Garryaceae","Garrya","veatchii","Garrya veatchii","indeterminate",1,0,0,"racemose",NA,0,0,NA,0,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"Zeltnera davyi","Gentianaceae","Zeltnera","davyi","Zeltnera davyi","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"California macrophylla","Geraniaceae","California","macrophylla","California macrophylla","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Erodium botrys","Geraniaceae","Erodium","botrys","Erodium botrys","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Erodium brachycarpum","Geraniaceae","Erodium","brachycarpum","Erodium brachycarpum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA
"Erodium cicutarium","Geraniaceae","Erodium","cicutarium","Erodium cicutarium","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Erodium moschatum","Geraniaceae","Erodium","moschatum","Erodium moschatum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Geranium carolinianum","Geraniaceae","Geranium","carolinianum","Geranium carolinianum","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Geranium dissectum","Geraniaceae","Geranium","dissectum","Geranium dissectum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,NA
"Geranium molle","Geraniaceae","Geranium","molle","Geranium molle","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,NA
"Pelargonium hortorum","Geraniaceae","Pelargonium","xhortorum","Pelargonium xhortorum","determinate",0,1,0,"cyme","radial",1,0,"bowl",1,0,0,"red",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"unavailable from calflora"
"Ribes malvaceum","Grossulariaceae","Ribes","malvaceum","Ribes malvaceum var. malvaceum","indeterminate",1,0,0,"raceme","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,NA
"Ribes thacherianum","Grossulariaceae","Ribes","thacherianum","Ribes thacherianum","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"pink",0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Heliotropium curassavicum","Heliotropiaceae","Heliotropium","curassavicum","Heliotropium curassavicum var. oculatum","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"Emmenanthe penduliflora","Hydrophyllaceae","Emmenanthe","penduliflora","Emmenanthe penduliflora var. penduliflora","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Eucrypta chrysanthemifolia","Hydrophyllaceae","Eucrypta","chrysanthemifolia","Eucrypta chrysanthemifolia var. chrysanthemifolia","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Nemophila pedunculata","Hydrophyllaceae","Nemophila","pedunculata","Nemophila pedunculata","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,NA
"Phacelia cicutaria","Hydrophyllaceae","Phacelia","cicutaria","Phacelia cicutaria var. hispida","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Phacelia distans","Hydrophyllaceae","Phacelia","distans","Phacelia distans","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"blue",0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Phacelia grandiflora","Hydrophyllaceae","Phacelia","grandiflora","Phacelia grandiflora","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Phacelia hubbyi","Hydrophyllaceae","Phacelia","hubbyi","Phacelia hubbyi","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Phacelia ramosissima","Hydrophyllaceae","Phacelia","ramosissima","Phacelia ramosissima","determinate",0,1,0,"drepanium","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"Phacelia viscida","Hydrophyllaceae","Phacelia","viscida","Phacelia viscida var. viscida","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Pholistoma auritum","Hydrophyllaceae","Pholistoma","auritum","Pholistoma auritum var. auritum","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Pholistoma racemosum","Hydrophyllaceae","Pholistoma","racemosum","Pholistoma racemosum","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Clinopodium douglasii","Lamiaceae","Clinopodium","douglasii","Clinopodium douglasii","determinate",0,1,0,"solitary","bilateral",0,1,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
