"resolvedPlantNames","Family","Genus","Species","scientificName","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes"
"Amblyopappus pusillus","Asteraceae","Amblyopappus","pusillus","Amblyopappus pusillus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Ambrosia chamissonis","Asteraceae","Ambrosia","chamissonis","Ambrosia chamissonis","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA
"Ambrosia psilostachya","Asteraceae","Ambrosia","psilostachya","Ambrosia psilostachya","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,NA
"Anthemis cotula","Asteraceae","Anthemis","cotula","Anthemis cotula","compound",0,0,1,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Artemisia californica","Asteraceae","Artemisia","californica","Artemisia californica","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA
"Artemisia douglasiana","Asteraceae","Artemisia","douglasiana","Artemisia douglasiana","compound",0,0,1,"raceme","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Baccharis glutinosa","Asteraceae","Baccharis","glutinosa","Baccharis glutinosa","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Baccharis pilularis","Asteraceae","Baccharis","pilularis","Baccharis pilularis ssp. consanguinea","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,NA
"Baccharis plummerae","Asteraceae","Baccharis","plummerae","Baccharis plummerae ssp. plummerae","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Baccharis salicifolia","Asteraceae","Baccharis","salicifolia","Baccharis salicifolia subsp. salicifolia","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA
"Blennosperma nanum","Asteraceae","Blennosperma","nanum","Blennosperma nanum var. nanum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA
"Brickellia californica","Asteraceae","Brickellia","californica","Brickellia californica","compound",0,0,1,"spike","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA
"Carduus pycnocephalus","Asteraceae","Carduus","pycnocephalus","Carduus pycnocephalus subsp. pycnocephalus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Centaurea benedicta","Asteraceae","Centaurea","benedicta","Centaurea benedicta","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Centaurea melitensis","Asteraceae","Centaurea","melitensis","Centaurea melitensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA
"Centaurea solstitialis","Asteraceae","Centaurea","solstitialis","Centaurea solstitialis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"Centromadia fitchii","Asteraceae","Centromadia","fitchii","Centromadia fitchii","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Cichorium intybus","Asteraceae","Cichorium","intybus","Cichorium intybus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"blue",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA
"Cirsium brevistylum","Asteraceae","Cirsium","brevistylum","Cirsium brevistylum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Cirsium vulgare","Asteraceae","Cirsium","vulgare","Cirsium vulgare","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA
"Corethrogyne filaginifolia","Asteraceae","Corethrogyne","filaginifolia","Corethrogyne filaginifolia","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Cotula australis","Asteraceae","Cotula","australis","Cotula australis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"Cotula coronopifolia","Asteraceae","Cotula","coronopifolia","Cotula coronopifolia","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Cynara cardunculus","Asteraceae","Cynara","cardunculus","Cynara cardunculus subsp. flavescens","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Deinandra clementina","Asteraceae","Deinandra","clementina","Deinandra clementina","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"Deinandra fasciculata","Asteraceae","Deinandra","fasciculata","Deinandra fasciculata","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Deinandra increscens","Asteraceae","Deinandra","increscens","Deinandra increscens ssp. increscens","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA
"Encelia californica","Asteraceae","Encelia","californica","Encelia californica","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Ericameria ericoides","Asteraceae","Ericameria","ericoides","Ericameria ericoides","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA
"Erigeron bonariensis","Asteraceae","Erigeron","bonariensis","Erigeron bonariensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"Erigeron canadensis","Asteraceae","Erigeron","canadensis","Erigeron canadensis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA
"Erigeron foliosus","Asteraceae","Erigeron","foliosus","Erigeron foliosus var. foliosus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,"calflora without subspp"
"Erigeron glaucus","Asteraceae","Erigeron","glaucus","Erigeron glaucus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"purple",0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,NA
"Erigeron sanctarum","Asteraceae","Erigeron","sanctarum","Erigeron sanctarum",NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no sanctarum"
"Erigeron sumatrensis","Asteraceae","Erigeron","sumatrensis","Erigeron sumatrensis","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,NA
"Eriophyllum confertiflorum","Asteraceae","Eriophyllum","confertiflorum","Eriophyllum confertiflorum var. confertiflorum","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,"no subspecies"
"Eriophyllum staechadifolium","Asteraceae","Eriophyllum","staechadifolium","Eriophyllum staechadifolium","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"Eurybia radulina","Asteraceae","Eurybia","radulina","Eurybia radulina","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Gamochaeta ustulata","Asteraceae","Gamochaeta","ustulata","Gamochaeta ustulata","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Glebionis coronaria","Asteraceae","Glebionis","coronaria","Glebionis coronaria","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,NA
"Gnaphalium palustre","Asteraceae","Gnaphalium","palustre","Gnaphalium palustre","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Hazardia detonsa","Asteraceae","Hazardia","detonsa","Hazardia detonsa","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,NA
"Hazardia squarrosa","Asteraceae","Hazardia","squarrosa","Hazardia squarrosa var. grindelioides","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Helianthus annuus","Asteraceae","Helianthus","annuus","Helianthus annuus","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA
"Helminthotheca echioides","Asteraceae","Helminthotheca","echioides","Helminthotheca echioides","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA
"Heterotheca grandiflora","Asteraceae","Heterotheca","grandiflora","Heterotheca grandiflora","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA
"Hieracium argutum","Asteraceae","Hieracium","argutum","Hieracium argutum","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
"Hypochaeris glabra","Asteraceae","Hypochaeris","glabra","Hypochaeris glabra","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Jaumea carnosa","Asteraceae","Jaumea","carnosa","Jaumea carnosa","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,NA
"Lactuca saligna","Asteraceae","Lactuca","saligna","Lactuca saligna","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA
"Lactuca serriola","Asteraceae","Lactuca","serriola","Lactuca serriola","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Laennecia coulteri","Asteraceae","Laennecia","coulteri","Laennecia coulteri","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA
"Lasthenia gracilis","Asteraceae","Lasthenia","gracilis","Lasthenia gracilis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA
"Layia platyglossa","Asteraceae","Layia","platyglossa","Layia platyglossa","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Lepidospartum squamatum","Asteraceae","Lepidospartum","squamatum","Lepidospartum squamatum","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA
"Leptosyne gigantea","Asteraceae","Leptosyne","gigantea","Leptosyne gigantea","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA
"Logfia arizonica","Asteraceae","Logfia","arizonica","Logfia arizonica","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA
"Logfia filaginoides","Asteraceae","Logfia","filaginoides","Logfia filaginoides","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA
"Logfia gallica","Asteraceae","Logfia","gallica","Logfia gallica","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"green",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Madia exigua","Asteraceae","Madia","exigua","Madia exigua","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA
"Madia gracilis","Asteraceae","Madia","gracilis","Madia gracilis","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Madia sativa","Asteraceae","Madia","sativa","Madia sativa","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA
"Malacothrix coulteri","Asteraceae","Malacothrix","coulteri","Malacothrix coulteri","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Malacothrix indecora","Asteraceae","Malacothrix","indecora","Malacothrix indecora","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,NA
"Malacothrix saxatilis","Asteraceae","Malacothrix","saxatilis","Malacothrix saxatilis var. implicata","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA
"Malacothrix similis","Asteraceae","Malacothrix","similis","Malacothrix similis","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Malacothrix squalida","Asteraceae","Malacothrix","squalida","Malacothrix squalida","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"Matricaria discoidea","Asteraceae","Matricaria","discoidea","Matricaria discoidea","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA
"Micropus californicus","Asteraceae","Micropus","californicus","Micropus californicus var. californicus","compound",0,0,1,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Microseris douglasii","Asteraceae","Microseris","douglasii","Microseris douglasii subsp. tenella","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA
"Microseris elegans","Asteraceae","Microseris","elegans","Microseris elegans","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
"Perityle emoryi","Asteraceae","Perityle","emoryi","Perityle emoryi","compound",0,0,1,"head","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA
"Pluchea odorata","Asteraceae","Pluchea","odorata","Pluchea odorata var. odorata","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA
"Pseudognaphalium beneolens","Asteraceae","Pseudognaphalium","beneolens","Pseudognaphalium beneolens","compound",0,0,1,"umbel","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
