name,subgenus,manualEditMLEE,removedSubSpec,removeSubGenus,genusforremovedsub,resolvedName
"Tetraloniella (Tetraloniella) albata (Cresson, 1872)",3,,,albata,Tetraloniella albata,Tetraloniella albata
Svastra (Epimelissodes) texana texana,3,,,texana,Svastra texana,Svastra texana
Svastra (Epimelissodes) sabinensis sabinensis,3,,,sabinensis,Svastra sabinensis,Svastra sabinensis
Svastra (Epimelissodes) obliqua obliqua,3,,,obliqua,Svastra obliqua,Svastra obliqua
Svastra (Epimelissodes) atripes atripes,3,,,atripes,Svastra atripes,Svastra atripes
"Stelis louisiae Cockerell, 1911",,,Stelis louisiae,,,Stelis louisiae
"Stelis """"albosignata""""",,Stelis albosignata,,,,Stelis albosignata
"Pseudopanurgus innuptus (Cockerell, 1896)",,,Pseudopanurgus innuptus,,,Pseudopanurgus innuptus
Protandrena (Pterosarus) labrosus perlaevis,3,,,labrosus,Protandrena labrosus,Protandrena labrosus
Protandrena (Pterosarus) bidentis bidentis,3,,,bidentis,Protandrena bidentis,Protandrena bidentis
Protandrena (Pterosarus) albitarsus innuptus,3,,,albitarsus,Protandrena albitarsus,Protandrena albitarsus
Protandrena (Pterosarus) albitarsus albitarsus,3,,,albitarsus,Protandrena albitarsus,Protandrena albitarsus
Protandrena (Pterosarus) albitarsis porterae,3,,,albitarsis,Protandrena albitarsis,Protandrena albitarsis
Protandrena (Pterosarus) albitarsis picipes,3,,,albitarsis,Protandrena albitarsis,Protandrena albitarsis
Protandrena (Pterosarus) aestrivalis,3,,,aestrivalis,Protandrena aestrivalis,Protandrena aestrivalis
"Perdita timberlakei Cockerell, 1925",,,Perdita timberlakei,,,Perdita timberlakei
Perdita diffiicilis,,Perdita difficilis,,,,Perdita difficilis
"Perdita baileyae Cockerell, 1909",,,Perdita baileyae,,,Perdita baileyae
Perdita (Pygoperdita) nevadensis nevadensis,3,,,nevadensis,Perdita nevadensis,Perdita nevadensis
Perdita (Pygoperdita) micheneri micheneri,3,,,micheneri,Perdita micheneri,Perdita micheneri
Perdita (Perdita) zonalis zonalis,3,,,zonalis,Perdita zonalis,Perdita zonalis
Perdita (Perdita) zebrata zebrata,3,,,zebrata,Perdita zebrata,Perdita zebrata
Perdita (Perdita) wilmattae wilmattae,3,,,wilmattae,Perdita wilmattae,Perdita wilmattae
Perdita (Perdita) variegata variegata,3,,,variegata,Perdita variegata,Perdita variegata
Perdita (Perdita) similis similis,3,,,similis,Perdita similis,Perdita similis
Perdita (Perdita) punctosignata punctosignata,3,,,punctosignata,Perdita punctosignata,Perdita punctosignata
Perdita (Perdita) polytropica polytropica,3,,,polytropica,Perdita polytropica,Perdita polytropica
Perdita (Perdita) numerata numerata,3,,,numerata,Perdita numerata,Perdita numerata
Perdita (Perdita) nasuta nasuta,3,,,nasuta,Perdita nasuta,Perdita nasuta
Perdita (Perdita) luciae luciae,3,,,luciae,Perdita luciae,Perdita luciae
Perdita (Perdita) lateralis lateralis,3,,,lateralis,Perdita lateralis,Perdita lateralis
Perdita (Hexaperdita) ignota isopappi x crawfordi,3,,,ignota,Perdita ignota,Perdita ignota
Perdita (Hexaperdita) ignota ignota,3,,,ignota,Perdita ignota,Perdita ignota
Perdita (Hexaperdita) foveata foveata,3,,,foveata,Perdita foveata,Perdita foveata
Perdita (Cockerellia) perpulchra perpulchra,3,,,perpulchra,Perdita perpulchra,Perdita perpulchra
Perdita (Cockerellia) coreopsidis coreopsidis,3,,,coreopsidis,Perdita coreopsidis,Perdita coreopsidis
Perdita (Cockerellia) beata beata,3,,,beata,Perdita beata,Perdita beata
Perdita (Cockerellia) albipennis albipennis,3,,,albipennis,Perdita albipennis,Perdita albipennis
Perdita (Cockerellia) albihirta albihirta,3,,,albihirta,Perdita albihirta,Perdita albihirta
Paranthidium (Paranthidium) jugatorium jugatorium,3,,,jugatorium,Paranthidium jugatorium,Paranthidium jugatorium
Osmia (Osmia) ribifloris ribifloris,3,,,ribifloris,Osmia ribifloris,Osmia ribifloris
Osmia (Diceratosmia) subfasciata subfasciata,3,,,subfasciata,Osmia subfasciata,Osmia subfasciata
Osmia (Diceratosmia) conjuncta,3,,,conjuncta,Osmia conjuncta,Osmia conjuncta
Nomia (Acunomia) tetrazonata tetrazonata,3,,,tetrazonata,Nomia tetrazonata,Nomia tetrazonata
Nomia (Acunomia) nortoni nortoni,3,,,nortoni,Nomia nortoni,Nomia nortoni
"Nomada annulata Smith, 1854",,,Nomada annulata,,,Nomada annulata
Melissodes (Melissodes) thelypodii thelypodii,3,,,thelypodii,Melissodes thelypodii,Melissodes thelypodii
Melissodes (Melissodes) tepida timberlakei,3,,,tepida,Melissodes tepida,Melissodes tepida
Melissodes (Melissodes) tepida tepida,3,,,tepida,Melissodes tepida,Melissodes tepida
Melissodes (Melissodes) gilensis gilensis,3,,,gilensis,Melissodes gilensis,Melissodes gilensis
Melissodes (Melissodes) communis communis,3,,,communis,Melissodes communis,Melissodes communis
Melissodes (Melissodes) bimaculata bimaculata,3,,,bimaculata,Melissodes bimaculata,Melissodes bimaculata
Megachile (Xanthosarus) melanophoea rohweri,3,,,melanophoea,Megachile melanophoea,Megachile melanophoea
Megachile (Sayapis) inimica inimica,3,,,inimica,Megachile inimica,Megachile inimica
Lithurgus (Lithurgopsis) apicalis apicalis,3,,,apicalis,Lithurgus apicalis,Lithurgus apicalis
Leioproctus (Filiglossa) filamentosa,3,,,filamentosa,Leioproctus filamentosa,Leioproctus filamentosa
Lasioglossum pilosicadum,,Lasioglossum pilosum,,,,Lasioglossum pilosum
Lasioglossum niger,,Lasioglossum nigrum,,,,Lasioglossum nigrum
"Hypomacrotera callops persimilis Cockerell, 1900",,,Hypomacrotera callops,,,Hypomacrotera callops
Hylaeus lasinius,,Hylaeus asininus,,,,Hylaeus asininus
Hylaeus (Prosopis) episcopalis episcopalis,3,,,episcopalis,Hylaeus episcopalis,Hylaeus episcopalis
Hylaeus (Hylaeus) mesillae cressonii,3,,,mesillae,Hylaeus mesillae,Hylaeus mesillae
Hoplitis (Alcidamea) producta producta,3,,,producta,Hoplitis producta,Hoplitis producta
Hoplitis (Alcidamea) grinnelli grinnelli,3,,,grinnelli,Hoplitis grinnelli,Hoplitis grinnelli
"Halictus (Chloralictus) eophilus Ellis, 1914",3,,,eophilus,Halictus eophilus,Halictus eophilus
"Habropoda dammersi (Timberlake, 1937)",,,Habropoda dammersi,,,Habropoda dammersi
Glossurocolletes bilobulatus,,Glossurocolletes bilobatus,,,,Glossurocolletes bilobatus
"Eucera fulvohirta (Cresson, 1878)",3,,Eucera fulvohirta,,,Eucera fulvohirta
Dieunomia (Epinomia) nevadensis nevadensis,3,,,nevadensis,Dieunomia nevadensis,Dieunomia nevadensis
Dieunomia (Epinomia) nevadensis arizonensis,3,,,nevadensis,Dieunomia nevadensis,Dieunomia nevadensis
