code,institution
NAUF-CPMAB,Colorado Plateau Museum of Arthropod Biodiversity 
KKC-KKC,Kojun Kanda Insect Collection 
MAJC-MAJC,M. Andrew Johnston Collection 
MNA-WACA,Museum of Northern Arizona - Walnut Canyon National Monument Collection 
UNM-MSBA,"Museum of Southwestern Biology, Division of Arthropods "
NAUF-NAUF5F,NAU Forest Entomology Collection 
NMSU-NMSU,New Mexico State Collection of Arthropods 
SSAC-SSAC,Salvatore S. Anzaldo Collection 
TAMU-TAMUIC,Texas A&M University Insect Collection 
TTU-TTU-Z,Texas Tech University - Invertebrate Zoology 
UTEP-BCEC,The University of Texas at El Paso Biodiversity Collections Entomology collection 
TNHC-UTIC,The University of Texas Insect Collection 
UA-UAIC,University of Arizona Insect Collection 
HNU-HNUSEL,Hannam University Systematic Entomology Laboratory 
CONABIO-CAIM,"Actualización de la Colección de Artrópodos con importancia médica (CAIM), Laboratorio de Entomología, InDRE"
CONABIO-LSPG,Apoyo para la infraestructura de la colección de artrópodos con y sin importancia médica del Laboratorio estatal de Salud Pública del estado de Guanaj 
CONABIO-UADY,Biodiversidad de la apifauna de Yucatán 
CONABIO-BST,"Biodiversidad de la Sierra Tarahumara. Lepidoptera: Mimallonoidea, Lasiocampoidea, Bombycoidea y Pyraloidea "
CONABIO-CCE,Catálogo de insectos de la colección del Centro de Entomología 
CONABIO-CRLN,"Catálogo y recopilación de datos científicos de los lepidópteros nocturnos de México, pertenecientes a cinco familias "
IBUNAM-HYM,CNIN/Abejas de México/Apoidea 
IBUNAM-COL,CNIN/Coleoptera 
IBUNAM-LEPS,CNIN/Lepidoptera 
CONABIO-CISC,Colección de insectos agrícolas del proyecto diversidad en sistemas de cultivos 
UniSierra-UniSierra-Invertebrates,Colección de Invertebrados de la Universidad de la Sierra 
CONABIO-CLQR,Colección de referencia de vectores de Leishmania spp (causante de Leshmaniasis cutánea localizada) de la Península de Yucatán y un estudio preliminar)
CONABIO-CPYQ,Colección de referencia de vectores de Leishmania spp (causante de Leshmaniasis cutánea localizada) de la Península de Yucatán y un estudio preliminar
UAQ-UAQE,Colección Zoológica de la Universidad Autónoma de Querétaro 
CONABIO-CFS,Computarización de abejas de la colección entomológica de la Frontera Sur 
CONABIO-CMZ,"Computarización de la colección de abejas (Hymenoptera: Apoidea) del Museo de Zoología Alfonso L. Herrera, de la Facultad de Ciencias de la UNAM"
CONABIO-CCNBM,Computarización de la Colección Nacional de insectos Dr. Alfredo Barrera Marín del Museo de Historia Natural de la Ciudad de México 
CONABIO-CLMZ,"Computarización y actualización de la curación de la Colección de Lepidóptera del Museo de Zoología ""Alfonso L. Herrera"" y su base de datos MARIPOSA. "
CONABIO-RBTC,"Diversidad de abejas (Hymenoptera: Apoidea) de la Reserva de la Biosfera El Triunfo, Chiapas"
CONABIO-DIBT,"Diversidad de ocho grupos de insecta (Odonata, Lycidae, Phengodidae, Lampyridae, Cantharidae, Cerambycidae, Syrphidae y Vespidae) en tres regiones con"
CONABIO-EMBN,Escarabajos y moscas de los bosques de niebla del sureste mexicano (Coleoptera: Scarabaeoidea; Diptera: Syrphidae y Calliphoridae) 
CONABIO-FIC,Fauna de insectos sociales del estado de Campeche 
CONABIO-IHPM,Inventario de Hymenóptera; parasítica en México 
CONABIO-ILSH,Inventario de la lepidopterofauna de la Sierra de Huautla 
CONABIO-RTP120,"Inventario de las mariposas de la selva baja de las sierras de Taxco-Huautla, Guerrero "
CONABIO-IRSG,"Inventario de los ropaloceros (Lepidoptera) de la Sierra Gorda, estado de Querétaro, México"
CONABIO-ECO-CH,"Lepidoptera (Rhopalocera y Heterocera) de áreas prioritarias para la conservación en la Península de Yucatán, con registros de adultos y estados inmad"
CONABIO-ODV,Odonata de Veracruz 
CONABIO-CSAB,Primera fase de actualización de la Colección de Siphonaptera Alfredo Barrera del Museo de Zoología Alfonso Herrera 
CONABIO-BGBD,Proyecto para compatibilizar el inventario de biota edáfica BGBD con el Sistema Nacional de Información sobre Biodiversidad 
CONABIO-CMCL,"Repatriación de datos de los lepidópteros depositados en la Colección del McGuire Center for Lepidoptera and Biodiversity, Florida Museum of Natural H "
CONABIO-RCQR,"Riqueza específica y biodiversidad de microartrópodos edáficos de la Isla de Cozumel, Q. Roo "
CONABIO-CEZUG,"Scarabaeoidea y colección de tipos de la colección entomológica del Centro de Estudios en Zoología, Universidad de Guadalajara "
NMK-INV,"National Museums of Kenya, Invertebrate Section "
GLA-iBOL,International Barcode of Life project 
EL-MNHN-Paris,The Lepidoptera collection (EL) of the Muséum national d'Histoire naturelle
BIG4-VSIC,Viktor Senderov Insect Collection 
TEST-TEST,Test Collection 
VCE-VAL,Vermont Atlas of Life 
CFNS-BSAP,Butterflies and Skippers of Alberta Project 
CSG-CSG,Crispin S. Guppy Collection 
Gollop-Gollop,M. Gollop Collection 
HALF-HALF,Peter Hall Observations 
RALF-RALF,Ross A. Layberry Observations 
THA-Bark Beetles,Bark and Ambrosia Beetles of the New World 
BISON-BugGuide,BugGuide 
SCAN,General Research Observations 
iNaturalist-Observations,iNaturalist Research-grade Observations 
fieldguide-LepSnap,LepSnap Observations 
BISON-PollardBase,PollardBase 
SHM-SHM-ART,Sierra Huérfana de Mazatán - Arthropod Observations 
LEPSOC-LEPSOC,The Lepidopterists' Society Season Summary 
MOD_WPC-MOD_WPC,Moth Observation Database: David L. Wikle Personal Collection 
MOD_FMNH-MOD_FMNH,Moth Observation Database: Field Museum of Natural History 
MOD_KSU-MOD_KSU,Moth Observation Database: Kansas State University 
MOD_SBMNH-MOD_SBMNH,Moth Observation Database: Santa Barbara Museum of Natural History 
MOD_AMNH-MOD_AMNH,Moth Observations Database: American Museum of Natural History 
MOD_CAS-MOD_CAS,Moth Observations Database: California Academy of Sciences 
MOD_CDFA-MOD_CDFA,Moth Observations Database: California Department of Food and Agriculture 
MOD_CNC-MOD_CNC,Moth Observations Database: Canadian National Collection 
MOD_CSUFC-MOD_CSUFC,"Moth Observations Database: Colorado State University, Fort Collins "
MOD_DMNS-MOD_DMNS,Moth Observations Database: Denver Museum of Nature & Science 
MOD_LACM-MOD_LACM,Moth Observations Database: LA County Museum of Natural History 
MOD_NMNH-MOD_NMNH,Moth Observations Database: National Museum of Natural History 
MOD_PR-MOD_PR,Moth Observations Database: Paul and Sandy Russel Personal Collection 
MOD_PMJ-MOD_PMJ,Moth Observations Database: Peter Jump Personal Collection 
MOD_SDNHM-MOD_SDNHM,Moth Observations Database: San Diego Natural History Museum 
MOD_TED-MOD_TED,Moth Observations Database: Tom Dimock Personal Collection 
MOD_UCB-MOD_UCB,Moth Observations Database: UC Berkeley 
MOD_UCD-MOD_UCD,Moth Observations Database: UC Davis 
MOD_UCR-MOD_UCR,Moth Observations Database: UC Riverside 
MOD_UCONN-MOD_UCONN,Moth Observations Database: University of Connecticut 
