"","beeID","plantID","monthID","sourceID","y"
"2536",6,112,6,7,0
"2545",6,114,6,7,0
"2551",6,116,6,7,0
"2555",6,117,6,7,0
"2563",6,118,6,7,0
"2567",6,119,6,7,0
"2573",6,120,6,7,0
"2581",6,122,6,7,0
"2583",6,123,6,7,0
"2590",6,125,6,7,0
"2597",6,126,6,7,0
"2604",7,1,6,7,0
"2610",7,2,6,7,0
"2615",7,3,6,7,0
"2618",7,4,6,7,0
"2629",7,7,6,7,0
"2632",7,8,6,7,0
"2634",7,9,6,7,0
"2636",7,10,6,7,0
"2640",7,11,6,7,0
"2643",7,12,6,7,0
"2647",7,13,6,7,0
"2650",7,14,6,7,0
"2654",7,15,6,7,0
"2659",7,17,6,7,0
"2662",7,18,6,7,0
"2665",7,19,6,7,0
"2667",7,20,6,7,0
"2669",7,21,6,7,0
"2675",7,22,6,7,0
"2676",7,23,6,7,0
"2678",7,24,6,7,0
"2681",7,25,6,7,0
"2688",7,26,6,7,0
"2691",7,28,6,7,0
"2696",7,29,6,7,0
"2698",7,30,6,7,0
"2700",7,31,6,7,0
"2707",7,32,6,7,0
"2713",7,35,6,7,0
"2725",7,37,6,7,0
"2730",7,38,6,7,0
"2733",7,40,6,7,0
"2736",7,41,6,7,0
"2742",7,42,6,7,0
"2749",7,43,6,7,0
"2752",7,44,6,7,0
"2754",7,46,6,7,0
"2764",7,51,6,7,0
"2771",7,52,6,7,0
"2777",7,53,6,7,0
"2784",7,54,6,7,0
"2788",7,55,6,7,0
"2792",7,57,6,7,0
"2795",7,58,6,7,0
"2799",7,59,6,7,0
"2804",7,60,6,7,0
"2807",7,61,6,7,0
"2812",7,62,6,7,0
"2814",7,63,6,7,0
"2817",7,64,6,7,0
"2819",7,65,6,7,0
"2826",7,66,6,7,0
"2832",7,67,6,7,0
"2838",7,69,6,7,0
"2845",7,71,6,7,0
"2853",7,74,6,7,0
"2865",7,77,6,7,0
"2866",7,78,6,7,0
"2871",7,79,6,7,0
"2880",7,82,6,7,0
"2883",7,83,6,7,0
"2889",7,85,6,7,0
"2893",7,86,6,7,0
"2898",7,88,6,7,0
"2906",7,90,6,7,0
"2911",7,91,6,7,0
"2914",7,92,6,7,0
"2916",7,93,6,7,0
"2921",7,94,6,7,0
"2923",7,95,6,7,0
"2928",7,96,6,7,0
"2931",7,97,6,7,0
"2936",7,98,6,7,0
"2940",7,99,6,7,0
"2943",7,100,6,7,0
"2947",7,101,6,7,0
"2953",7,102,6,7,0
"2960",7,103,6,7,0
"2963",7,104,6,7,0
"2968",7,106,6,7,0
"2970",7,107,6,7,0
"2976",7,108,6,7,0
"2982",7,109,6,7,0
"2989",7,110,6,7,0
"2993",7,111,6,7,0
"2999",7,112,6,7,0
"3007",7,114,6,7,0
"3012",7,116,6,7,0
"3015",7,117,6,7,0
"3022",7,118,6,7,0
"3025",7,119,6,7,0
"3030",7,120,6,7,0
"3037",7,122,6,7,0
"3039",7,123,6,7,0
"3046",7,125,6,7,0
"3053",7,126,6,7,0
"3060",8,1,6,7,0
"3066",8,2,6,7,0
"3071",8,3,6,7,0
"3074",8,4,6,7,0
"3085",8,7,6,7,0
"3088",8,8,6,7,0
"3090",8,9,6,7,0
"3092",8,10,6,7,0
"3096",8,11,6,7,0
"3099",8,12,6,7,0
"3103",8,13,6,7,0
"3106",8,14,6,7,0
"3110",8,15,6,7,0
"3115",8,17,6,7,0
"3118",8,18,6,7,0
"3121",8,19,6,7,0
"3123",8,20,6,7,0
"3125",8,21,6,7,0
"3131",8,22,6,7,0
"3132",8,23,6,7,0
"3134",8,24,6,7,0
"3137",8,25,6,7,0
"3144",8,26,6,7,0
"3147",8,28,6,7,0
"3152",8,29,6,7,0
"3154",8,30,6,7,0
"3156",8,31,6,7,0
"3163",8,32,6,7,0
"3169",8,35,6,7,0
"3181",8,37,6,7,0
"3186",8,38,6,7,0
"3189",8,40,6,7,0
"3192",8,41,6,7,0
"3198",8,42,6,7,0
"3205",8,43,6,7,0
"3208",8,44,6,7,0
"3210",8,46,6,7,0
"3220",8,51,6,7,0
"3227",8,52,6,7,0
"3233",8,53,6,7,0
"3240",8,54,6,7,0
"3244",8,55,6,7,0
"3248",8,57,6,7,0
"3251",8,58,6,7,0
"3255",8,59,6,7,0
"3260",8,60,6,7,0
"3263",8,61,6,7,0
"3268",8,62,6,7,0
"3270",8,63,6,7,0
"3273",8,64,6,7,0
"3275",8,65,6,7,0
"3282",8,66,6,7,0
"3288",8,67,6,7,0
"3294",8,69,6,7,0
"3301",8,71,6,7,0
"3309",8,74,6,7,0
"3321",8,77,6,7,0
"3322",8,78,6,7,0
"3327",8,79,6,7,0
"3336",8,82,6,7,0
"3339",8,83,6,7,0
"3345",8,85,6,7,0
"3349",8,86,6,7,0
"3354",8,88,6,7,0
