Checklist names,Synonyms from DL,Notes
Exomalopsis cerei,Exomalopsis (Anthophorula) cerei; Anthophorula cerei ,
Habropoda depressa,Emphoropsis depressa,
Habropoda miserabilis,Anthophora miserabilis; Emphoropsis miserabilis; Emphoropsis murihirta murina ,
Melecta separata callura,"Bombomelecta alfredi; Bombomelecta arizonica; Bombomelecta johnsoni; Bombomelecta callura; Melecta (Melecta) separata mojavensis, valid subspecies; Melecta (Melecta) separata alfredi, valid subspecies; Melecta (Melecta) separata arizonica, valid subspecies; Melecta (Melecta) separata johnsoni, valid subspecies; Melecta separata",
Melissodes lupina,Melissodes intermediella var catalinensis; Melissodes catalinensis vanduzeei; Melissodes lupinus,
Melissodes lustrus,Melissodes (Callimelissodes) lustra ,
Melissodes stearnsi,,None
Melissodes tepida timberlakei,"Melissodes tepida; Melissodes timberlakei; Melissodes (Melissodes) tepidus timberlakei, valid subspecies; Melissodes (Melissodes) tepida yumensis; Melissodes (Melissodes) tepida yumensis, valid subspecies;  Melissodes tepidus ",
Nomada edwardsii,Nomada vinnula; Nomada intercepta; Nomada (Holonomada) edwardsii var australior; Nomada edwardsii vinnula; Nomada (Holonomada) edwardsii8; Nomada (Holonomada) australior; Nomada (Holonomada) intercepta; Nomada (Holonomada) vinnula ,
Nomada formula,Hypochrotaenia (Micronomada) formula,
Nomada hesperia,"Nomada (Holonomada) flavopicta; Nomada (Laminomada) hesperia; Nomada (Laminomada) flavopicta; Nomada (Laminomada) hesperia falconis; Nomada hesperia falconis, valid subgenus",
Nomada semisuavis,Nomada (Micronomada) semisuavis; Hypochrotaenia (Micronomada) semisuavis ,
Nomada suavis,Nomada flavipes; Hypochrotaenia (Micronomada) flavipes; Hypochrotaenia (Micronomada) suavis,
Triepeolus heterurus,Epeolus utahensis; Epeolus heterurus; Epeolus piscatoris; Triepeolus utahensis ,
Xeromelecta californica,Melecta californica; Melecta miranda; Pseudomelecta pasadenensis; Melecta sladeni ,
Colletes hyalinus gaudialis,"Colletes hyalina, incorrect termination; Colletes spurcus; Colletes fraserae; Colletes cauponarius; Colletes nitidicaudus; Colletes gandialis_sic; Colletes gaudialis, valid subspecies; Colletes arenicola; Colletes hyalinus oregonensis, valid subspecies",
Colletes kincaidii,Colletes sieverti; Colletes eulophi albertensis; Colletes stricklandi,
Colletes slevini,Colletes eriogoni ,
