"Family","Genus","Species","scientificName","Current Name Full","inf_type","indeterminate","determinate","compound","inf_more","morph","radial","bilateral","cor_shape","bowl","tube","restrictive","color","white","pink","yellow","green","purple","orange","red","blue","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","notes","resolvedPlantNames","New.Genus","New.Species"
"Oxalidaceae","Oxalis","californica","Oxalis californica","Oxalis californica (Abrams) R. Knuth","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,NA,"Oxalis californica","Oxalis","californica"
"Oxalidaceae","Oxalis","corniculata","Oxalis corniculata","Oxalis corniculata L.","determinate",0,1,0,"solitary","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,"Oxalis corniculata","Oxalis","corniculata"
"Oxalidaceae","Oxalis","pes-caprae","Oxalis pes-caprae","Oxalis pes-caprae L.","determinate",0,1,0,"cyme","radial",1,0,"tube",0,1,0,"yellow",0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,NA,"Oxalis pes-caprae","Oxalis","pes-caprae"
"Papaveraceae","Dendromecon","harfordii","Dendromecon harfordii","Dendromecon harfordii Kellogg","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,NA,"Dendromecon harfordii","Dendromecon","harfordii"
"Papaveraceae","Eschscholzia","californica","Eschscholzia californica","Eschscholzia californica Cham.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"orange",0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA,"Eschscholzia californica","Eschscholzia","californica"
"Papaveraceae","Eschscholzia","ramosa","Eschscholzia ramosa","Eschscholzia ramosa (Greene) Greene","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"orange",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,"Eschscholzia ramosa","Eschscholzia","ramosa"
"Plantaginaceae","Keckiella","cordifolia","Keckiella cordifolia","Keckiella cordifolia (Benth.) Straw","determinate",0,1,0,"cluster","bilateral",0,1,"tube",0,1,0,"red",0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,NA,"Keckiella cordifolia","Keckiella","cordifolia"
"Rhamnaceae","Ceanothus","arboreus","Ceanothus arboreus","Ceanothus arboreus Greene","determinate",0,1,0,"spike","radial",1,0,"bowl",1,0,0,"blue",0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,NA,"Ceanothus arboreus","Ceanothus","arboreus"
"Rosaceae","Heteromeles","arbutifolia","Heteromeles arbutifolia","Heteromeles arbutifolia (Lindl.) M. Roem.","determinate",0,1,0,"cluster","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,"Heteromeles arbutifolia","Heteromeles","arbutifolia"
"Rosaceae","Rosa","californica","Rosa californica","Rosa californica Cham. & Schltdl.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"pink",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,"Rosa californica","Rosa","californica"
"Solanaceae","Solanum","douglasii","Solanum douglasii","Solanum douglasii Dunal","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,"Solanum douglasii","Solanum","douglasii"
"Solanaceae","Solanum","elaeagnifolium","Solanum elaeagnifolium","Solanum elaeagnifolium Cav.","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,NA,"Solanum elaeagnifolium","Solanum","elaeagnifolium"
"Solanaceae","Solanum","wallacei","Solanum wallacei","Solanum wallacei (A. Gray) Parish","determinate",0,1,0,"cluster","radial",1,0,"tube",0,1,0,"purple",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA,"Solanum wallacei","Solanum","wallacei"
"Liliaceae","Calochortus","albus","Calochortus albus","Calochortus albus (Benth.) Benth.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,"Calochortus albus","Calochortus","albus"
"Liliaceae","Calochortus","catalinae","Calochortus catalinae","Calochortus catalinae S. Watson","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA,"Calochortus catalinae","Calochortus","catalinae"
"Liliaceae","Calochortus","luteus","Calochortus luteus","Calochortus luteus Lindl.","determinate",0,1,0,"solitary","radial",1,0,"bowl",1,0,0,"yellow",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,"Calochortus luteus","Calochortus","luteus"
"Rhamnaceae","Ceanothus","megacarpus","Ceanothus megacarpus var. insularis","Ceanothus megacarpus Nutt. var. insularis (Eastw.) Munz","determinate",0,1,0,"spike","radial",1,0,"bowl",1,0,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,NA,"Ceanothus megacarpus","Ceanothus","megacarpus"
"Fabaceae","Lupinus","albifrons","Lupinus albifrons var. albifrons","Lupinus albifrons Benth. var. albifrons","indeterminate",1,0,0,"raceme","bilateral",0,1,"restricted",0,0,1,"purple",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA,"Lupinus albifrons","Lupinus","albifrons"
"Brassicaceae","Raphanus","raphanistrum","Raphanus raphanistrum","Raphanus raphanistrum L.","indeterminate",1,0,0,"raceme","radial",1,0,"tube",0,1,0,"white",1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,NA,"Raphanus raphanistrum","Raphanus","raphanistrum"
