Order,Family,Genus,Species,scientificName,Current Name Full,resolvedPlantNames,New.Genus,New.Species
Lamiales,Lamiaceae,Marrubium,vulgare,Marrubium vulgare,Marrubium vulgare L.,Marrubium vulgare,Marrubium,vulgare
Fabales,Fabaceae,Medicago,polymorpha,Medicago polymorpha,Medicago polymorpha L.,Medicago polymorpha,Medicago,polymorpha
Fabales,Fabaceae,Medicago,sativa,Medicago sativa,Medicago sativa L.,Medicago sativa,Medicago,sativa
Caryophyllales,Aizoaceae,Mesembryanthemum,crystallinum,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum L.,Mesembryanthemum crystallinum,Mesembryanthemum,crystallinum
Caryophyllales,Aizoaceae,Mesembryanthemum,nodiflorum,Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum L.,Mesembryanthemum nodiflorum,Mesembryanthemum,nodiflorum
Caryophyllales,Cactaceae,Opuntia,ficus-indica,Opuntia ficus-indica,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica,Opuntia,ficus-indica
Caryophyllales,Cactaceae,Opuntia,littoralis,Opuntia littoralis,Opuntia littoralis (Engelm.) Cockerell,Opuntia littoralis,Opuntia,littoralis
Caryophyllales,Cactaceae,Opuntia,oricola,Opuntia oricola,Opuntia oricola Philbrick,Opuntia oricola,Opuntia,oricola
Oxalidales,Oxalidaceae,Oxalis,californica,Oxalis californica,Oxalis californica (Abrams) R. Knuth,Oxalis californica,Oxalis,californica
Oxalidales,Oxalidaceae,Oxalis,corniculata,Oxalis corniculata,Oxalis corniculata L.,Oxalis corniculata,Oxalis,corniculata
Oxalidales,Oxalidaceae,Oxalis,pes-caprae,Oxalis pes-caprae,Oxalis pes-caprae L.,Oxalis pes-caprae,Oxalis,pes-caprae
Boraginales,Hydrophyllaceae,Phacelia,cicutaria,Phacelia cicutaria var. hispida,Phacelia cicutaria Greene var. hispida J.T. Howell,Phacelia cicutaria,Phacelia,cicutaria
Boraginales,Hydrophyllaceae,Phacelia,cicutaria,,,Phacelia cicutaria var. hispida,,
Boraginales,Hydrophyllaceae,Phacelia,distans,Phacelia distans,Phacelia distans Benth.,Phacelia distans,Phacelia,distans
Boraginales,Hydrophyllaceae,Phacelia,grandiflora,Phacelia grandiflora,Phacelia grandiflora (Benth.) A. Gray,Phacelia grandiflora,Phacelia,grandiflora
Boraginales,Hydrophyllaceae,Phacelia,hubbyi,Phacelia hubbyi,Phacelia hubbyi (J.F. Macbr.) L.M. Garrison,Phacelia hubbyi,Phacelia,hubbyi
Boraginales,Hydrophyllaceae,Phacelia,ramosissima,Phacelia ramosissima,Phacelia ramosissima Douglas ex Lehm.,Phacelia ramosissima,Phacelia,ramosissima
Boraginales,Hydrophyllaceae,Phacelia,viscida,Phacelia viscida var. viscida,Phacelia viscida (Lindl.) Torr. var. viscida,Phacelia viscida,Phacelia,viscida
Boraginales,Hydrophyllaceae,Phacelia,viscida,,,Phacelia viscida var. viscida,,
Asterales,Asteraceae,Pseudognaphalium,beneolens,Pseudognaphalium beneolens,Pseudognaphalium beneolens (Davidson) Anderb.,Pseudognaphalium beneolens,Pseudognaphalium,beneolens
Asterales,Asteraceae,Pseudognaphalium,biolettii,Pseudognaphalium biolettii,Pseudognaphalium biolettii Anderb.,Pseudognaphalium biolettii,Pseudognaphalium,biolettii
Asterales,Asteraceae,Pseudognaphalium,californicum,Pseudognaphalium californicum,Pseudognaphalium californicum (DC.) Anderb.,Pseudognaphalium californicum,Pseudognaphalium,californicum
Asterales,Asteraceae,Pseudognaphalium,,,,Pseudognaphalium luteoalbum,,
Asterales,Asteraceae,Pseudognaphalium,microcephalum,Pseudognaphalium microcephalum,Pseudognaphalium microcephalum (Nutt.) Anderb.,Pseudognaphalium microcephalum,Pseudognaphalium,microcephalum
Asterales,Asteraceae,Pseudognaphalium,ramosissimum,Pseudognaphalium ramosissimum,Pseudognaphalium ramosissimum (Nutt.) Anderb.,Pseudognaphalium ramosissimum,Pseudognaphalium,ramosissimum
Asterales,Asteraceae,Pseudognaphalium,stramineum,Pseudognaphalium stramineum,Pseudognaphalium stramineum (Kunth) Anderb.,Pseudognaphalium stramineum,Pseudognaphalium,stramineum
Brassicales,Brassicaceae,Raphanus,raphanistrum,Raphanus raphanistrum,Raphanus raphanistrum L.,Raphanus raphanistrum,Raphanus,raphanistrum
Sapindales,Anacardiaceae,Rhus,integrifolia,Rhus integrifolia,Rhus integrifolia (Nutt.) Rothr.,Rhus integrifolia,Rhus,integrifolia
Sapindales,Anacardiaceae,Rhus,ovata,Rhus ovata,Rhus ovata S. Watson,Rhus ovata,Rhus,ovata
Rosales,Rosaceae,Rosa,californica,Rosa californica,Rosa californica Cham. & Schltdl.,Rosa californica,Rosa,californica
Lamiales,Lamiaceae,Salvia,columbariae,Salvia columbariae,Salvia columbariae Benth.,Salvia columbariae,Salvia,columbariae
Lamiales,Lamiaceae,Salvia,leucophylla,Salvia leucophylla,Salvia leucophylla Greene,Salvia leucophylla,Salvia,leucophylla
Lamiales,Lamiaceae,Salvia,mellifera,Salvia mellifera,Salvia mellifera Greene,Salvia mellifera,Salvia,mellifera
Solanales,Solanaceae,Solanum,douglasii,Solanum douglasii,Solanum douglasii Dunal,Solanum douglasii,Solanum,douglasii
Solanales,Solanaceae,Solanum,elaeagnifolium,Solanum elaeagnifolium,Solanum elaeagnifolium Cav.,Solanum elaeagnifolium,Solanum,elaeagnifolium
