fullcode,institutionfull,institution
NAUF-CPMAB-SPI,Host Spiders ,Host Spiders 
UKY-HIC-HIC,Hymenoptera Institute Collection ,Hymenoptera Institute Collection 
IAW-IAW-LC1,Ian Watkinson Lepidoptera Collection ,Ian Watkinson Lepidoptera Collection 
INHS-Crustacean,Illinois Natural History Survey - Crustacean Collection ,Illinois Natural History Survey
INHS-INHSIC,Illinois Natural History Survey Insect Collection ,Illinois Natural History Survey
iNaturalist-Observations,iNaturalist Research-grade Observations ,iNaturalist Research-grade Observations 
CIQ-ENT,Insect Collection of Quebec ,Insect Collection of Quebec 
IMQC-ENT,Insectarium de Montréal ,Insectarium de Montréal 
GLA-iBOL,International Barcode of Life project ,International Barcode of Life project 
CONABIO-IHPM,Inventario de Hymenóptera; parasítica en México ,Inventario de Hymenóptera; parasítica en México 
CONABIO-ILSH,Inventario de la lepidopterofauna de la Sierra de Huautla ,Inventario de la lepidopterofauna de la Sierra de Huautla 
CONABIO-RTP120,"Inventario de las mariposas de la selva baja de las sierras de Taxco-Huautla, Guerrero ","Inventario de las mariposas de la selva baja de las sierras de Taxco-Huautla, Guerrero "
CONABIO-IRSG,"Inventario de los ropaloceros (Lepidoptera) de la Sierra Gorda, estado de Querétaro, México","Inventario de los ropaloceros (Lepidoptera) de la Sierra Gorda, estado de Querétaro, México"
JMM-JMMI,Joseph Moore Museum ,Joseph Moore Museum 
KSU-MEPAR,K-State Museum of Entomological and Prairie Arthropod Research ,K-State Museum of Entomological and Prairie Arthropod Research 
KNWR-ENT,Kenai National Wildlife Refuge Entomology Collection ,Kenai National Wildlife Refuge Entomology Collection 
UCSC-RMIC,"Kenneth S. Norris Center for Natural History, University of California Santa Cruz, Insect Collection ","Kenneth S. Norris Center for Natural History, University of California Santa Cruz, Insect Collection "
KKC-KKC,Kojun Kanda Insect Collection ,Kojun Kanda Insect Collection 
UAM-KWP,KWP Lepidoptera Collection (Arctos),KWP Lepidoptera Collection (Arctos)
CONABIO-ECO-CH,"Lepidoptera (Rhopalocera y Heterocera) de áreas prioritarias para la conservación en la Península de Yucatán, con registros de adultos y estados inmad","Lepidoptera (Rhopalocera y Heterocera) de áreas prioritarias para la conservación en la Península de Yucatán, con registros de adultos y estados inmad"
fieldguide-LepSnap,LepSnap Observations ,LepSnap Observations 
PSU-LUL,López-Uribe Lab Collection ,López-Uribe Lab Collection 
LCDI-LERC,Luther Entomological Research Collection ,Luther Entomological Research Collection 
MAJC-MAJC,M. Andrew Johnston Collection ,M. Andrew Johnston Collection 
Gollop-Gollop,M. Gollop Collection ,M. Gollop Collection 
MSM-DUCL,Maine State Museum - Brianne Du Clos ,Maine State Museum - Brianne Du Clos 
MMMN-MMMN,Manitoba Museum of Man and Nature ,Manitoba Museum of Man and Nature 
MGU-LEMQ,"McGill University, Lyman Entomological Museum ","McGill University, Lyman Entomological Museum "
MCMUC-MCMUC,McMaster University Collection ,McMaster University Collection 
MWK-MWKPC,Michael W Klein Personal Collection and Observations ,Michael W Klein Personal Collection and Observations 
MPM-MPM ENT,"Milwaukee Public Museum, Invertebrate Zoology-Insect Collection ","Milwaukee Public Museum, Invertebrate Zoology-Insect Collection "
UMN-EXT,Minnesota Bee Atlas ,Minnesota Bee Atlas 
MEMU,Mississippi Entomological Museum,Mississippi Entomological Museum
MISSA-MEM,Mississippi Entomological Museum ,Mississippi Entomological Museum
MSU-MEC,Montana Entomology Collection ,Montana Entomology Collection 
UPR-MEBT-UPR,Museo de Entomología y Biodiversidad Tropical Collection - University of Puerto Rico ,Museo de Entomología y Biodiversidad Tropical Collection - University of Puerto Rico 
MNRJ-ARA,"Museu Nacional, Universidade Federal do Rio de Janeiro (MNRJ) and Pompilid hosts","Museu Nacional, Universidade Federal do Rio de Janeiro (MNRJ) and Pompilid hosts"
MCZ,"Museum of Comparative Zoology, Harvard University ","Museum of Comparative Zoology, Harvard University "
MNA-WACA,Museum of Northern Arizona - Walnut Canyon National Monument Collection ,Museum of Northern Arizona
MNA-GRCA,Museum of Northern Arizona – Grand Canyon National Park Collection ,Museum of Northern Arizona
MNA-PEFO,Museum of Northern Arizona – Petrified Forest National Park Collection ,Museum of Northern Arizona
MNA-INV,Museum of Northern Arizona Invertebrate Collections ,Museum of Northern Arizona
MSB-PARA,Museum of Southwestern Biology Division of Parasitology - ParasiteTracker ,Museum of Southwestern Biology
MSB-PARA,Museum of Southwestern Biology Division of Parasitology - ParasiteTracker ,Museum of Southwestern Biology
UNM-MSBA,"Museum of Southwestern Biology, Division of Arthropods ",Museum of Southwestern Biology
NMK-INV,"National Museums of Kenya, Invertebrate Section ","National Museums of Kenya, Invertebrate Section "
USGS-PWRC-US-CA-MX,Native Bee Inventory and Monitoring Lab - US-CA-MX - Bees ,Native Bee Inventory and Monitoring Lab
USGS-PWRC-US-CA-MX,Native Bee Inventory and Monitoring Lab - US-CA-MX - Bees ,Native Bee Inventory and Monitoring Lab
USGS-PWRC,Native Bee Inventory and Monitoring Lab - World - Bees ,Native Bee Inventory and Monitoring Lab
USGS-PWRC,Native Bee Inventory and Monitoring Lab - World - Bees ,Native Bee Inventory and Monitoring Lab
NMLS,"Natur-Museum Luzern, Switzerland","Natur-Museum Luzern, Switzerland"
LACM-LACMEC,Natural History Museum of Los Angeles County ,Natural History Museum of Los Angeles County 
NAUF-NAUF5F,NAU Forest Entomology Collection ,NAU Forest Entomology Collection 
UNL-NSM,Nebraska State Museum - ParasiteTracker ,Nebraska State Museum - ParasiteTracker 
NEON-CARC-DNA,NEON Biorepository Carabid Collection (DNA Extracts),NEON Biorepository
NEON-CARC-PV,NEON Biorepository Carabid Collection (Pinned Vouchers),NEON Biorepository
NEON-CARC-TS,NEON Biorepository Carabid Collection (Trap Sorting),NEON Biorepository
NEON-MOSQ-BI,NEON Biorepository Mosquito Collection (Bulk Identified),NEON Biorepository
NEON-MOSC-PV,NEON Biorepository Mosquito Collection (Pinned Vouchers),NEON Biorepository
NSMLV-ENT,"Nevada State Museum, Las Vegas Entomology Collection ","Nevada State Museum, Las Vegas Entomology Collection "
NMSU-NMSU,New Mexico State Collection of Arthropods ,New Mexico State Collection of Arthropods 
NYSM-ARTH,New York State Museum Arthropod Collection ,New York State Museum Arthropod Collection 
AMNH-BEE,North American Bee Collections ,American Museum of Natural History Invertebrate Zoology Collection 
NCSU,North Carolina State University,North Carolina State University
NAU-AGFR,Northern Arizona University - Agua Fria National Monument Collection ,Northern Arizona University - Agua Fria National Monument Collection 
NBP-COL,Northern Biodiversity Program Coleoptera (2010-2011),Northern Biodiversity Program Coleoptera (2010-2011)
CONABIO-ODV,Odonata de Veracruz ,Odonata de Veracruz 
BYU-OBSERV,Odonata records from the Brigham Young University Arthropod Museum ,Brigham Young University Arthropod Museum 
OSU-OSU,Ohio State C.A. Triplehorn Insect Collection ,Ohio State C.A. Triplehorn Insect Collection 
OSAL-OSAL_Ar,Ohio State University Acarology Laboratory ,Ohio State University Acarology Laboratory 
OSAC-BEES,Oregon Bee Atlas ,Oregon Bee Atlas 
OSU-OSAC,Oregon State Arthropod Collection ,Oregon State Arthropod Collection 
CIDA-ENT,Orma Smith Museum of Natural History ,Orma Smith Museum of Natural History 
Lyman-Lyman,Orphaned Collection - Lyman Entomological Museum ,Orphaned Collection - Lyman Entomological Museum 
TAMU-SongLab,Orthoptera DNA Tissue Collection ,Orthoptera DNA Tissue Collection 
UMBC-QMOR,Ouellet-Robert Entomological Collection ,Ouellet-Robert Entomological Collection 
TPT,Parasite Tracker ,Parasite Tracker 
HALF-HALF,Peter Hall Observations ,Peter Hall Observations 
AMNH-PBI,Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop),Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heterop)
BURKLE-LAMANNA,Plant–pollinator community assembly across wildfire gradients ,Plant–pollinator community assembly across wildfire gradients 
BISON-PollardBase,PollardBase ,PollardBase 
EMEC-UTB-ENT,Pollinator interaction flexibility across scales affects patch colonization and occupancy ,Pollinator interaction flexibility across scales affects patch colonization and occupancy 
UNM-MBA,Predicting changes in bee assemblages following state transitions ,Predicting changes in bee assemblages following state transitions 
UTAH-PIPR,"Price Institute of Parasite Research, School of Biological Sciences, University of Utah ","Price Institute of Parasite Research, School of Biological Sciences, University of Utah "
CONABIO-CSAB,Primera fase de actualización de la Colección de Siphonaptera Alfredo Barrera del Museo de Zoología Alfonso Herrera ,Primera fase de actualización de la Colección de Siphonaptera Alfredo Barrera del Museo de Zoología Alfonso Herrera 
CONABIO-BGBD,Proyecto para compatibilizar el inventario de biota edáfica BGBD con el Sistema Nacional de Información sobre Biodiversidad ,Proyecto para compatibilizar el inventario de biota edáfica BGBD con el Sistema Nacional de Información sobre Biodiversidad 
UCD-BMEC,R. M. Bohart Museum of Entomology ,R. M. Bohart Museum of Entomology 
CONABIO-CMCL,"Repatriación de datos de los lepidópteros depositados en la Colección del McGuire Center for Lepidoptera and Biodiversity, Florida Museum of Natural H ","Repatriación de datos de los lepidópteros depositados en la Colección del McGuire Center for Lepidoptera and Biodiversity, Florida Museum of Natural H "
USC-DMBC,Richard B. Dominick Moth and Butterfly Collection ,Richard B. Dominick Moth and Butterfly Collection 
CONABIO-RCQR,"Riqueza específica y biodiversidad de microartrópodos edáficos de la Isla de Cozumel, Q. Roo ","Riqueza específica y biodiversidad de microartrópodos edáficos de la Isla de Cozumel, Q. Roo "
RLMC,RL Minckley Insect and Plant Collection ,RL Minckley Insect and Plant Collection 
RMBL-ENT,Rocky Mountain Biological Laboratory Insect Collection ,Rocky Mountain Biological Laboratory Insect Collection 
RALF-RALF,Ross A. Layberry Observations ,Ross A. Layberry Observations 
RBCM-ENT,Royal British Columbia Museum Entomology Collection ,Royal British Columbia Museum Entomology Collection 
RUAC,Rutgers University,Rutgers University
RUBC-RUEM,Rutgers University Entomological Museum ,Rutgers University
SCFS-ENTO,Sagehen Creek Field Station (UC-Berkeley) – Insects ,Sagehen Creek Field Station (UC-Berkeley) – Insects 
SSAC-SSAC,Salvatore S. Anzaldo Collection ,Salvatore S. Anzaldo Collection 
SDNHM-SDMC,San Diego Natural History Museum Entomology Department ,San Diego Natural History Museum Entomology Department 
SDSU-TAC,San Diego State University - Terrestrial Arthropods Collection ,San Diego State University - Terrestrial Arthropods Collection 
SBMNH-SBMNHENT,Santa Barbara Museum of Natural History Entomology Collection ,Santa Barbara Museum of Natural History Entomology Collection 
SCAN-ARTSYS,SCAN Collection of Externally Processed Specimens ,SCAN Collection of Externally Processed Specimens 
UNL-SCARAB,Scarab Central: World Scarabaeoidea ,Scarab Central: World Scarabaeoidea 
CONABIO-CEZUG,"Scarabaeoidea y colección de tipos de la colección entomológica del Centro de Estudios en Zoología, Universidad de Guadalajara ","Scarabaeoidea y colección de tipos de la colección entomológica del Centro de Estudios en Zoología, Universidad de Guadalajara "
SHM-SHM-ART,Sierra Huérfana de Mazatán - Arthropod Observations ,Sierra Huérfana de Mazatán - Arthropod Observations 
SI-NMNH,Smithsonian Institution - National Museum of Natural History ,Smithsonian Institution - National Museum of Natural History 
US,Smithsonian Institution - National Museum of Natural History ,Smithsonian Institution - National Museum of Natural History 
SDSU-SMIRC,"South Dakota State University, The Severin-McDaniel Insect Research Collection ","South Dakota State University, The Severin-McDaniel Insect Research Collection "
SEMO-SEMO,Southeast Missouri State University Invertebrate Museum ,Southeast Missouri State University Invertebrate Museum 
SOVT-FBL,State of Vermont Forest Biology Lab ,State of Vermont Forest Biology Lab 
SIIS,Staten Island Institute of Arts and Sciences / Staten Island Museum,Staten Island Institute of Arts and Sciences / Staten Island Museum
SIM-SIM-ENT,Staten Island Museum Entomology Collection ,Staten Island Museum Entomology Collection 
UAZC-BOMB,Survey of bumblebees in central Alberta - 2018 ,Survey of bumblebees in central Alberta - 2018 
TTRSNHM ,"Tall Timbers Research Station Natural History Museum, The Lepidoptera collection ","Tall Timbers Research Station Natural History Museum, The Lepidoptera collection "
TEST-TEST,Test Collection ,Test Collection 
TAMU-TAMUIC,Texas A&M University Insect Collection ,Texas A&M University Insect Collection 
TTU-TTU-Z,Texas Tech University - Invertebrate Zoology ,Texas Tech University - Invertebrate Zoology 
MSU-MSUC,The Albert J. Cook Arthropod Research Collection ,The Albert J. Cook Arthropod Research Collection 
BROW-BCIC,The Broward College Insect Collection ,The Broward College Insect Collection 
"University of Guelph, Centre for Biodiversity-BIOUG",The Centre for Biodiversity Genomics - University of Guelph ,The Centre for Biodiversity Genomics - University of Guelph 
DCH-DCEC,The Davidson College Entomology Collection ,The Davidson College Entomology Collection 
EL-MNHN-Paris,The Lepidoptera collection (EL) of the Muséum national d'Histoire naturelle,The Lepidoptera collection (EL) of the Muséum national d'Histoire naturelle
LEPSOC-LEPSOC,The Lepidopterists' Society Season Summary ,The Lepidopterists' Society Season Summary 
PU-PERC,The Purdue Entomological Research Collection ,The Purdue Entomological Research Collection 
OMNH-RINVRT,The Sam Noble Museum Department of Recent Invertebrates ,The Sam Noble Museum Department of Recent Invertebrates 
UCF-UCFC,The University of Central Florida Collection of Arthropods ,The University of Central Florida Collection of Arthropods 
UTEP-BCEC,The University of Texas at El Paso Biodiversity Collections Entomology collection ,The University of Texas at El Paso Biodiversity Collections Entomology collection 
TNHC-UTIC,The University of Texas Insect Collection ,The University of Texas Insect Collection 
AMNH-TTD,Tri-Trophic TCN ,Tri-Trophic TCN 
UAM-ENTO,UAM Insect Collection ,UAM Insect Collection 
USNM-USNMENT,"United States National Museum, Entomology Collections ","United States National Museum, Entomology Collections "
UASM-UASM,"University of Alberta Museums, E. H. Strickland Entomological Museum ","University of Alberta Museums, E. H. Strickland Entomological Museum "
UA-UAIC,University of Arizona Insect Collection ,University of Arizona Insect Collection 
