Family	Genus	Species	ScientificName	ScientificNameAuthorship
Asteraceae	Erigeron	sanctarum 	Erigeron sanctarum	Ker Gawl.
Asteraceae	Erigeron	sumatrensis 	Erigeron sumatrensis	S. Watson
Asteraceae	Erigeron	confertiflorum 	Eriophyllum confertiflorum	Retz.
Asteraceae	Eriophyllum	staechadifolium 	Eriophyllum staechadifolium	(DC.) A. Gray var. confertiflorum
Asteraceae	Eriophyllum	radulina 	Eurybia radulina	Lag.
Asteraceae	Eurybia	ustulata 	Gamochaeta ustulata	(A.Gray) G. L. Nesom
Asteraceae	Gamochaeta	coronaria 	Glebionis coronaria	(Nutt.) Holub
Asteraceae	Glebionis	palustre 	Gnaphalium palustre	(L.) Spach
Asteraceae	Gnaphalium	camporum 	Grindelia camporum	Nutt.
Asteraceae	Grindelia	stricta 	Grindelia stricta	Greene
Asteraceae	Grindelia	detonsa 	Hazardia detonsa	DC. var. platyphylla (Greene)M.A.Lane
Asteraceae	Hazardia	squarrosa 	Hazardia squarrosa	(Greene)Greene
Asteraceae	Hazardia	annuus 	Helianthus annuus	(Hook. & Arn.) Greene var. grindelioides (DC.) W.D. Clark
Asteraceae	Helianthus	echioides 	Helminthotheca echioides	L.
Asteraceae	Helminthotheca	grandiflora 	Heterotheca grandiflora	(L.) Holub
Asteraceae	Heterotheca	argutum 	Hieracium argutum	Nutt.
Asteraceae	Hieracium	glabra 	Hypochaeris glabra	Nutt.
Asteraceae	Hypochaeris	menziesii 	Isocoma menziesii	L.
Asteraceae	Isocoma	menziesii 	Isocoma menziesii	(Hook. & Arn.) G.L. Nesom var. sedoides (Greene) G.L. Nesom
Asteraceae	Isocoma	carnosa 	Jaumea carnosa	(Hook. & Arn.) G.L. Nesom var. vernonioides (Nutt.) G.L. Nesom
Asteraceae	Jaumea	saligna 	Lactuca saligna	(Less.) A. Gray
Asteraceae	Lactuca	serriola 	Lactuca serriola	L.
Asteraceae	Lactuca	coulteri 	Laënnecia coulteri	L.
Asteraceae	Laënnecia	gracilis 	Lasthenia gracilis	(A. Gray) G.L. Nesom
Asteraceae	Lasthenia	platyglossa 	Layia platyglossa	(DC.) Greene
Asteraceae	Layia	squamatum 	Lepidospartum squamatum	(Fisch. & C.A. Mey.) A. Gray
Asteraceae	Lepidospartum	gigantea 	Leptosyne gigantea	(A.Gray)A.Gray
Asteraceae	Leptosyne	arizonica 	Logfia arizonica	Kellogg
Asteraceae	Logfia	filaginoides 	Logfia filaginoides	(A. Gray) Holub
Asteraceae	Logfia	gallica 	Logfia gallica	(Hook. & Arn.) Morefield
Asteraceae	Logfia	exigua 	Madia exigua	(L.) Coss. & Germ.
Asteraceae	Madia	gracilis 	Madia gracilis	(Sm.) A. Gray
Asteraceae	Madia	sativa 	Madia sativa	(Sm.) Applegate
Asteraceae	Madia	coulteri 	Malacothrix coulteri	Molina
Asteraceae	Malacothrix	indecora 	Malacothrix indecora	Harv. & A. Gray
Asteraceae	Malacothrix	saxatilis 	Malacothrix saxatilis	Greene
Asteraceae	Malacothrix	similis 	Malacothrix similis	(Nutt.) Torr. & A. Gray var. implicata (Eastw.) H.M. Hall
Asteraceae	Malacothrix	squalida 	Malacothrix squalida	W.S. Davis & P.H. Raven
Asteraceae	Malacothrix	discoidea 	Matricaria discoidea	Greene
Asteraceae	Matricaria	californicus 	Micropus californicus	DC.
Asteraceae	Micropus	douglasii 	Microseris douglasii	Fisch. & C.A. Mey. var. californicus
Asteraceae	Microseris	elegans 	Microseris elegans	(DC.) Sch. Bip. subsp. tenella
Asteraceae	Microseris	emoryi 	Perityle emoryi	A. Gray
Asteraceae	Perityle	odorata 	Pluchea odorata	Torr.
Asteraceae	Pluchea	beneolens 	Pseudognaphalium beneolens	(L.) Cass. var. odorata
Asteraceae	Pseudognaphalium	biolettii 	Pseudognaphalium biolettii	(Davidson) Anderb.
Asteraceae	Pseudognaphalium	californicum 	Pseudognaphalium californicum	Anderb.
Asteraceae	Pseudognaphalium	luteoalbum 	Pseudognaphalium luteoalbum	(DC.) Anderb.
Asteraceae	Pseudognaphalium	microcephalum 	Pseudognaphalium microcephalum	(L.) Hilliard & B.L. Burtt
Asteraceae	Pseudognaphalium	ramosissimum 	Pseudognaphalium ramosissimum	(Nutt.) Anderb.
Asteraceae	Pseudognaphalium	stramineum 	Pseudognaphalium stramineum	(Nutt.) Anderb.
Asteraceae	Pseudognaphalium	tenellus 	Psilocarphus tenellus	(Kunth) Anderb.
Asteraceae	Psilocarphus	californica 	Rafinesquia californica	Nutt.
Asteraceae	Rafinesquia	aphanactis 	Senecio aphanactis	Nutt.
Asteraceae	Senecio	flaccidus 	Senecio flaccidus	Greene
Asteraceae	Senecio	glomeratus 	Senecio glomeratus	Less. var. douglasii (DC.) B.L. Turner & T.M. Barkley
Asteraceae	Senecio	vulgaris 	Senecio vulgaris	Poir.
Asteraceae	Senecio	velutina 	Solidago velutina	L.
Asteraceae	Solidago	asper 	Sonchus asper	DC. subsp. californica (Nutt.) Semple
Asteraceae	Sonchus	oleraceus 	Sonchus oleraceus	(L.) Hill subsp. asper
Asteraceae	Sonchus	heterocarpa 	Stebbinsoseris heterocarpa	L.
Asteraceae	Stebbinsoseris	cichoriacea 	Stephanomeria cichoriacea	(Nutt.) K.L. Chambers
Asteraceae	Stephanomeria	diegensis 	Stephanomeria diegensis	A. Gray
Asteraceae	Stephanomeria	exigua 	Stephanomeria exigua	Gottlieb
Asteraceae	Stephanomeria	virgata 	Stephanomeria virgata	Benth. ssp. coronaria
Asteraceae	Stephanomeria	gnaphaloides 	Stylocline gnaphaloides	Benth. subsp. virgata
Asteraceae	Stylocline	chilense 	Symphyotrichum chilense	Nutt.
Asteraceae	Symphyotrichum	subulatum 	Symphyotrichum subulatum	(Nees) G. L. Nesom
Asteraceae	Symphyotrichum	erythrospermum 	Taraxacum erythrospermum	(Michx.) G.L. Nesom
Asteraceae	Taraxacum	officinale 	Taraxacum officinale	Besser
Asteraceae	Taraxacum	porrifolius 	Tragopogon porrifolius	F.H. Wigg.
Asteraceae	Tragopogon	lindleyi 	Uropappus lindleyi	L.
Asteraceae	Uropappus	picroides 	Urospermum picroides	(DC.) Nutt.
Asteraceae	Urospermum	carpesioides 	Venegasia carpesioides	(L.) F.W. Schmidt
Asteraceae	Venegasia	spinosum 	Xanthium spinosum	DC.
Asteraceae	Xanthium	strumarium 	Xanthium strumarium	L.
Asteraceae	Xanthium	pinnata 	Berberis pinnata	L.
Berberidaceae	Berberis	intermedia 	Amsinckia intermedia	Lag. ssp. insularis Munz
Boraginaceae	Amsinckia	menziesii 	Amsinckia menziesii	Fisch. & C.A. Mey.
Boraginaceae	Amsinckia	spectabilis 	Amsinckia spectabilis	(Lehm.) A. Nelson & J.F. Macbr.
Boraginaceae	Amsinckia	clevelandii 	Cryptantha clevelandii	Fisch. & C.A. Mey. var. spectabilis
Boraginaceae	Cryptantha	leiocarpa 	Cryptantha leiocarpa	Greene
Boraginaceae	Cryptantha	muricata 	Cryptantha muricata	(Fisch.&C.A.Mey.)Greene
Boraginaceae	Cryptantha	micromeres 	Johnstonella micromeres	(Hook.&Arn.)A.Nelson&J.F.
Boraginaceae	Johnstonella	heterocarpa 	Pectocarya heterocarpa	(A. Gray) Hasenstab & M.G. Simpson
Boraginaceae	Pectocarya	linearis 	Pectocarya linearis	(I.M. Johnst.) I.M. Johnst.
Boraginaceae	Pectocarya	penicillata 	Pectocarya penicillata	(Ruiz & Pav.) DC. subsp. ferocula (I.M. Johnst.) Thorne
Boraginaceae	Pectocarya	acanthocarpus 	Plagiobothrys acanthocarpus	(Hook. & Arn.) A. DC.
Boraginaceae	Plagiobothrys	canescens 	Plagiobothrys canescens	(Piper) I.M. Johnst.
Boraginaceae	Plagiobothrys	collinus 	Plagiobothrys collinus	Benth. var. catalinensis
Boraginaceae	Plagiobothrys	collinus 	Plagiobothrys collinus	(Phil.) I.M. Johnst. var. californicus (A. Gray) Higgins
Boraginaceae	Plagiobothrys	pusillus 	Athysanus pusillus	(Phil.) I.M. Johnst. var. gracilis (I.M. Johnst.) Higgins
Brassicaceae	Athysanus	hoffmannii 	Boechera hoffmannii	(Hook.) Greene
Brassicaceae	Boechera	nigra 	Brassica nigra	(Munz) Al-Shehbaz
Brassicaceae	Brassica	rapa 	Brassica rapa	(L.) W.D.J. Koch
Brassicaceae	Brassica	maritima 	Cakile maritima	L.
Brassicaceae	Cakile	bursa-	Capsella bursa	Scop.
Brassicaceae	Capsella	californica 	Cardamine californica	pastoris (L.) Medik.
Brassicaceae	Cardamine	oligosperma 	Cardamine oligosperma	(Nutt.) Greene
Brassicaceae	Cardamine	lasiophyllus 	Caulanthus lasiophyllus	Nutt.
Brassicaceae	Caulanthus	pinnata 	Descurainia pinnata	(Hook. & Arn.) Payson
Brassicaceae	Descurainia	cuneifolia 	Draba cuneifolia	(Walter) Britton
Brassicaceae	Draba	insulare 	Erysimum insulare	Torr. & A. Gray
Brassicaceae	Erysimum	incana 	Hirschfeldia incana	Greene
Brassicaceae	Hirschfeldia	procumbens 	Hornungia procumbens	(L.) Lagr.-Fossat
Brassicaceae	Hornungia	draba 	Lepidium draba	(L.) Hayek
Brassicaceae	Lepidium	latipes 	Lepidium latipes	L.
Brassicaceae	Lepidium	nitidum 	Lepidium nitidum	Hook.
Brassicaceae	Lepidium	oblongum 	Lepidium oblongum	Nutt.
Brassicaceae	Lepidium	virginicum 	Lepidium virginicum	Small
Brassicaceae	Lepidium	officinale 	Nasturtium officinale	L. subsp. menziesii (DC.) Thell.
Brassicaceae	Nasturtium	raphanistrum 	Raphanus raphanistrum	W.T. Aiton
Brassicaceae	Raphanus	sativus 	Raphanus sativus	L.
Brassicaceae	Raphanus	filifolia 	Sibara filifolia	L.
Brassicaceae	Sibara	arvensis 	Sinapis arvensis	(Greene) Greene
Brassicaceae	Sinapis	officinale 	Sisymbrium officinale	L.
Brassicaceae	Sisymbrium	conchuliferus 	Thysanocarpus conchuliferus	(L.) Scop.
Brassicaceae	Thysanocarpus	curvipes 	Thysanocarpus curvipes	Greene
Brassicaceae	Thysanocarpus	laciniatus 	Thysanocarpus laciniatus	Hook.
Brassicaceae	Thysanocarpus	glabra 	Turritis glabra	Nutt.
Brassicaceae	Turritis	prolifera 	Cylindropuntia prolifera	L.
Cactaceae	Cylindropuntia	ficus-	Opuntia ficus	(Engelm.) F.M. Knuth
Cactaceae	Opuntia	littoralis 	Opuntia littoralis	indica (L.) Mill.
Cactaceae	Opuntia	oricola 	Opuntia oricola	(Engelm.) Cockerell
Cactaceae	Opuntia	diffusa 	Githopsis diffusa	Philbrick
Campanulaceae	Githopsis	biflora 	Triodanis biflora	A. Gray ssp. diffusa
Campanulaceae	Triodanis	hispidula 	Lonicera hispidula	(Ruiz & Pav.) Greene
Caprifoliaceae	Lonicera	interrupta 	Lonicera interrupta	(Lindl.) Torr. & A. Gray
Caprifoliaceae	Lonicera	subspicata 	Lonicera subspicata	Benth.
Caprifoliaceae	Lonicera	subspicata 	Lonicera subspicata	Hook. & Arn. var. denudata Rehder
Caprifoliaceae	Lonicera	mollis 	Symphoricarpos mollis	Hook. & Arn. var. subspicata
Caprifoliaceae	Symphoricarpos	ramosissimum 	Cardionema ramosissimum	Nutt.
Caryophyllaceae	Cardionema	glomeratum 	Cerastium glomeratum	(Weinm.) A. Nelson & J.F. Macbr.
Caryophyllaceae	Cerastium	douglasii 	Minuartia douglasii	Thuill.
Caryophyllaceae	Minuartia	depressum 	Polycarpon depressum	(Torr. & A. Gray) Mattf.
Caryophyllaceae	Polycarpon	tetraphyllum 	Polycarpon tetraphyllum	Nutt.
Caryophyllaceae	Polycarpon	apetala 	Sagina apetala	(L.) L. var. tetraphyllum
Caryophyllaceae	Sagina	decumbens 	Sagina decumbens	Ard.
Caryophyllaceae	Sagina	antirrhina 	Silene antirrhina	(Elliott) Torr. & A. Gray subsp. occidentalis (S. Watson) G.E. Crow
Caryophyllaceae	Silene	gallica 	Silene gallica	L.
Caryophyllaceae	Silene	laciniata 	Silene laciniata	L.
Caryophyllaceae	Silene	multinervia 	Silene multinervia	Cav. ssp. laciniata
Caryophyllaceae	Silene	bocconi 	Spergularia bocconi	S. Watson
Caryophyllaceae	Spergularia	macrotheca 	Spergularia macrotheca	(Scheele) Graebn.
Caryophyllaceae	Spergularia	marina 	Spergularia marina	(Cham. & Schltdl.) Heynh. var. macrotheca
Caryophyllaceae	Spergularia	villosa 	Spergularia villosa	(L.) Besser
Caryophyllaceae	Spergularia	media 	Stellaria media	(Pers.) Cambess.
Caryophyllaceae	Stellaria	nitens 	Stellaria nitens	(L.) Vill.
Caryophyllaceae	Stellaria	pallida 	Stellaria pallida	Nutt.
Caryophyllaceae	Stellaria	blitoides 	Aphanisma blitoides	(Dumort.) Crép.
Chenopodiaceae	Aphanisma	subterminale 	Arthrocnemum subterminale	Moq.
Chenopodiaceae	Arthrocnemum	argentea 	Atriplex argentea	(Parish) Standl.
Chenopodiaceae	Atriplex	coulteri 	Atriplex coulteri	Nutt. var. expansa (S. Watson) S.L. Welsh & Reveal
Chenopodiaceae	Atriplex	lentiformis 	Atriplex lentiformis	(Moq.) D. Dietr.
Chenopodiaceae	Atriplex	leucophylla 	Atriplex leucophylla	(Torr.) S. Watson
Chenopodiaceae	Atriplex	pacifica 	Atriplex pacifica	(Moq.) D. Dietr.
Chenopodiaceae	Atriplex	prostrata 	Atriplex prostrata	A. Nelson
Chenopodiaceae	Atriplex	semibaccata 	Atriplex semibaccata	DC.
Chenopodiaceae	Atriplex	watsonii 	Atriplex watsonii	R. Br.
Chenopodiaceae	Atriplex	vulgaris 	Beta vulgaris	Abrams
Chenopodiaceae	Beta	berlandieri 	Chenopodium berlandieri	L. subsp. maritima (L.) Arcang.
Chenopodiaceae	Chenopodium	californicum 	Chenopodium californicum	Moq.
Chenopodiaceae	Chenopodium	murale 	Chenopodium murale	(S. Watson) S. Watson
Chenopodiaceae	Chenopodium	ambrosioides 	Dysphania ambrosioides	L.
Chenopodiaceae	Dysphania	californica 	Extriplex californica	(L.) Mosyakin & Clemants
Chenopodiaceae	Extriplex	nuttalliana 	Monolepis nuttalliana	(Moq.) E.M. Zacharias
Chenopodiaceae	Monolepis	pacifica 	Salicornia pacifica	(Schult.) Greene
Chenopodiaceae	Salicornia	australis 	Salsola australis	Standl.
Chenopodiaceae	Salsola	taxifolia 	Suaeda taxifolia	R. Br.
Chenopodiaceae	Suaeda	greenei 	Crocanthemum greenei	(Standl.) Standl.
Cistaceae	Crocanthemum	scoparium 	Crocanthemum scoparium	(B.L. Rob.) Sorrie
Cistaceae	Crocanthemum	macrostegia 	Calystegia macrostegia	(Nutt.) Millsp.
Convolvulaceae	Calystegia	soldanella 	Calystegia soldanella	(Greene) Brummitt subsp. macrostegia
Convolvulaceae	Calystegia	arvensis 	Convolvulus arvensis	(L.) R. Br.
Convolvulaceae	Convolvulus	simulans 	Convolvulus simulans	L.
Convolvulaceae	Convolvulus	truxillensis 	Cressa truxillensis	L.M. Perry
Convolvulaceae	Cressa	pacifica 	Cuscuta pacifica	Kunth
Convolvulaceae	Cuscuta	subinclusa 	Cuscuta subinclusa	Costea & M. Wright var. pacifica
Convolvulaceae	Cuscuta	occidentalis 	Dichondra occidentalis	Durand & Hilg.
Convolvulaceae	Dichondra	connata 	Crassula connata	House
Crassulaceae	Crassula	blochmaniae 	Dudleya blochmaniae	(Ruiz & Pav.) A. Berger
Crassulaceae	Dudleya	candelabrum 	Dudleya candelabrum	(Eastw.) Moran ssp. blochmaniae
Crassulaceae	Dudleya	greenei 	Dudleya greenei	Rose
Crassulaceae	Dudleya	nesiotica 	Dudleya nesiotica	Rose
Crassulaceae	Dudleya	foetidissima 	Cucurbita foetidissima	(Moran) Moran
Cucurbitaceae	Cucurbita	fabacea 	Marah fabacea	Kunth
Cucurbitaceae	Marah	macrocarpa 	Marah macrocarpa	(Naudin) Greene
Cucurbitaceae	Marah	menziesii 	Arbutus menziesii	(Greene) Greene
Ericaceae	Arbutus	crustacea 	Arctostaphylos crustacea	Pursh
Ericaceae	Arctostaphylos	crustacea 	Arctostaphylos crustacea	Eastw. subsp. insulicola (P.V. Wells) V.T. Parker et al.
Ericaceae	Arctostaphylos	insularis 	Arctostaphylos insularis	Eastw. subsp. subcordata (Eastw.) V.T. Parker et al.
Ericaceae	Arctostaphylos	viridissima 	Arctostaphylos viridissima	Parry
Ericaceae	Arctostaphylos	diversifolia 	Comarostaphylis diversifolia	(Eastw.) McMinn
Ericaceae	Comarostaphylis	ovatum 	Vaccinium ovatum	(Parry) Greene subsp. planifolia (Jeps.) G.D. Wallace
Ericaceae	Vaccinium	setiger 	Croton setiger	Pursh
Euphorbiaceae	Croton	maculata 	Euphorbia maculata	Hook.
Euphorbiaceae	Euphorbia	misera 	Euphorbia misera	L.
Euphorbiaceae	Euphorbia	peplus 	Euphorbia peplus	Benth.
Euphorbiaceae	Euphorbia	spathulata 	Euphorbia spathulata	L.
Euphorbiaceae	Euphorbia	melanoxylon 	Acacia melanoxylon	Lam.
Fabaceae	Acacia	americanus 	Acmispon americanus	R. Br.
Fabaceae	Acmispon	argophyllus 	Acmispon argophyllus	(Nutt.) Rydb. var. americanus
Fabaceae	Acmispon	brachycarpus 	Acmispon brachycarpus	var. niveus (Greene)
Fabaceae	Acmispon	dendroideus 	Acmispon dendroideus	(Benth.) D.D. Sokoloff
Fabaceae	Acmispon	grandiflorus 	Acmispon grandiflorus	(Greene) Brouillet var. dendroideus
Fabaceae	Acmispon	maritimus 	Acmispon maritimus	(Benth.) Brouillet var. grandiflorus
Fabaceae	Acmispon	micranthus 	Acmispon micranthus	(Nutt.) D.D. Sokoloff var. maritimus
Fabaceae	Acmispon	parviflorus 	Acmispon parviflorus	(Torr. & A. Gray) Brouillet
Fabaceae	Acmispon	strigosus 	Acmispon strigosus	(Benth.) D.D.Sokoloff
Fabaceae	Acmispon	wrangelianus 	Acmispon wrangelianus	(Nutt.) Brouillet
Fabaceae	Acmispon	lophantha 	Albizia lophantha	(Fisch. & C.A. Mey.) D.D. Sokoloff
Fabaceae	Albizia	didymocarpus 	Astragalus didymocarpus	(Willd.) Benth.
Fabaceae	Astragalus	gambelianus 	Astragalus gambelianus	Hook. & Arn. var. didymocarpus
Fabaceae	Astragalus	miguelensis 	Astragalus miguelensis	E. Sheld.
Fabaceae	Astragalus	trichopodus 	Astragalus trichopodus	Greene
Fabaceae	Astragalus	vestitus 	Lathyrus vestitus	(Nutt.) A. Gray var. lonchus (M.E. Jones) Barneby
Fabaceae	Lathyrus	corniculatus 	Lotus corniculatus	Nutt. var. vestitus
Fabaceae	Lotus	albifrons 	Lupinus albifrons	L.
Fabaceae	Lupinus	albifrons 	Lupinus albifrons	Benth. var. albifrons
Fabaceae	Lupinus	arboreus 	Lupinus arboreus	Benth. var. douglasii (J. Agardh) C.P. Sm.
Fabaceae	Lupinus	bicolor 	Lupinus bicolor	Sims
Fabaceae	Lupinus	concinnus 	Lupinus concinnus	Lindl.
Fabaceae	Lupinus	hirsutissimus 	Lupinus hirsutissimus	J. Agardh
Fabaceae	Lupinus	microcarpus 	Lupinus microcarpus	Benth.
Fabaceae	Lupinus	succulentus 	Lupinus succulentus	Sims var. microcarpus
Fabaceae	Lupinus	truncatus 	Lupinus truncatus	K. Koch
Fabaceae	Lupinus	polymorpha 	Medicago polymorpha	Nutt.
Fabaceae	Medicago	sativa 	Medicago sativa	L.
Fabaceae	Medicago	albus 	Melilotus albus	L.
Fabaceae	Melilotus	indicus 	Melilotus indicus	Medik.
Fabaceae	Melilotus	montana 	Pickeringia montana	(L.) All.
Fabaceae	Pickeringia	sativum 	Pisum sativum	Nutt. var. montana
Fabaceae	Pisum	pseudoacacia 	Robinia pseudoacacia	L.
Fabaceae	Robinia	junceum 	Spartium junceum	L.
Fabaceae	Spartium	albopurpureum 	Trifolium albopurpureum	L.
Fabaceae	Trifolium	ciliolatum 	Trifolium ciliolatum	Torr. & A. Gray
Fabaceae	Trifolium	depauperatum 	Trifolium depauperatum	Benth.
Fabaceae	Trifolium	fucatum 	Trifolium fucatum	Desv. var. truncatum (Greene) Isely)
Fabaceae	Trifolium	gracilentum 	Trifolium gracilentum	Lindl.
Fabaceae	Trifolium	macraei 	Trifolium macraei	Torr. & A. Gray
Fabaceae	Trifolium	microcephalum 	Trifolium microcephalum	Hook. & Arn.
Fabaceae	Trifolium	variegatum 	Trifolium variegatum	Pursh
Fabaceae	Trifolium	willdenovii 	Trifolium willdenovii	Nutt. var. major Lojac.
Fabaceae	Trifolium	americana 	Vicia americana	Spreng.
Fabaceae	Vicia	benghalensis 	Vicia benghalensis	Muhl. ex Willd. subsp. americana
Fabaceae	Vicia	hassei 	Vicia hassei	L.
Fabaceae	Vicia	ludoviciana 	Vicia ludoviciana	S. Watson
Fabaceae	Vicia	sativa 	Vicia sativa	Torr. & A. Gray subsp. ludoviciana
Fabaceae	Vicia	agrifolia 	Quercus agrifolia	L. subsp. sativa
Fagaceae	Quercus	chrysolepis 	Quercus chrysolepis	Née var. agrifolia
Fagaceae	Quercus	chrysolepis 	Quercus chrysolepis	Liebm.
Fagaceae	Quercus	douglasii 	Quercus douglasii	x tomentella
Fagaceae	Quercus	douglasii 	Quercus douglasii	Hook. & Arn.
Fagaceae	Quercus	kelloggii 	Quercus kelloggii	x pacifica
Fagaceae	Quercus	lobata 	Quercus lobata	Newb.
Fagaceae	Quercus	pacifica 	Quercus pacifica	Née
Fagaceae	Quercus	parvula 	Quercus parvula	Nixon & C.H. Mull.
Fagaceae	Quercus	tomentella 	Quercus tomentella	Greene var. parvula
Fagaceae	Quercus	x 	Quercus x	Engelm.
Fagaceae	Quercus	salina 	Frankenia salina	macdonaldii Greene
Frankeniaceae	Frankenia	veatchii 	Garrya veatchii	(Molina) I.M. Johnst.
Garryaceae	Garrya	davyi 	Zeltnera davyi	Kellogg
Gentianaceae	Zeltnera	macrophylla 	California macrophylla	(Jeps.) G. Mans.
Geraniaceae	California	botrys 	Erodium botrys	(Hook. & Arn.) J.J. Aldasoro et al.
Geraniaceae	Erodium	brachycarpum 	Erodium brachycarpum	(Cav.) Bertol.
