"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"33","Anthophora californica","Anthophora tarsata","Anthophora 5-fasciata","Anthophora quinquefasciata","Anthophora tarsata subtarsata","Anthophora texana","Podalirius doursii Dalla Torre","Anthophora erysimi","Anthophora californica texana","Anthophora californica albomarginata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","Anthophora edwardsii","Anthophora gohrmanae","Anthophora gohrmanae ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","Anthophora urbana","Podalirius alamosanus","Anthophora catalinae","Anthophora nebracensis","Anthophora leucostomella","Anthophora catalinae clementina","Anthophora nicolai","Anthophora (Mystacanthophora) urbana clementina Cockerell","Anthophora urbana nicolai Cockerell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","Apis mellifera","Apis mellifica Linnaeus,","Apis gregaria","Apis cerifera","Apis adansonii","Apis caffra","Apis nigritarum","Apis daurica Fischer de","Apis australis Keisenwetter","Apis mellifica germanica","Apis mellifica ","Apis mellifica mellifica ","Apis mellifica ","Apis remipes armeniaca","Apis mellifera major","Apis mellifera nubica","Apis mellifera carpatica","Apis mellifica rodopica","Apis mellifica adami","Apis mellifera adami","Apis mellifica unicolor ","Apis mellifera adansonii","Apis (Apis) mellifera anatoliaca","Apis mellifera acervorum","Apis (Apis) mellifera artemisia Engel","Apis mellifera capensis","Apis mellifica carnica","Apis mellifera carniolica Koschevnikov,","Apis mellifera carnica","Apis mellifica hymettea Pollmann","Apis mellida","Apis mellifera caucasica Gorbachev,","Apis mellifica ","Apis mellifera cecropia","Apis mellica cypria","Apis mellifera cypria","Apis mellifica intermissa iberica","Apis mellifera iberica","Apis (Apis) mellifera iberiensis Engel","Apis mellifica unicolor ","Apis (Apis) intermissa","Apis mellifera intermissa","Apis mellifera jemenitica","Apis fasciata","Apis mellifera lamarckii Cockerell","Apis mellifera ligustica","Apis liguria Smith","Apis liguria Dalla Torre","Apis mellifera ","Apis mellifera macedonica","Apis Skorikov","Apis mellifera ","Apis mellica ","Apis mellifera remipes","Apis mellifera armeniaca","Apis remipes transcaucasica","Apis mellifera ruttneri Sheppard","Apis mellifica ","Apis mellifera sahariensis","Apis mellifera scutellata","Apis siciliana Grassi,","Apis siciliana Dalla","Apis mellifica mellifica ","Apis sicula","Apis mellifera simensis Meixner","Apis cerifera","Apis (Apis) mellifera sossimai Engel","Apis (Apis) mellifera syriaca","Apis mellifera taurica","Apis mellifera unicolor"
"37","Bombus californicus","Bombus dubius","Apathus californicus","Bombus neglectulus","Bombus (Fervidobombus) californicus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","Bombus crotchii","Bombus nigrocinctus","Bremus crotchii ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","Bombus melanopygus","Bombus menestriesii Radoszkowski","Bombus lacustris","Bremus melanopygus ","Bombus edwardsii","Bombus melampygus","Bombus lapponicus ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","Bombus occidentalis","Bombus proximus","Bombus howardii","Bombus howardi Cresson,","Bombus perixanthus Cockerell and","Bombus mckayi","Bombus proximus ","Bombus (Bombus) occidentalis nigroscutatus","Bremus terricola ","Bombus (Bombus) occidentalis mckayi Ashmead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","Bombus vosnesenskii","Bombus flavifrons","Bombus columbicus Dalla Torre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","Ceratina acantha","Ceratina submaritima","Ceratina submaritima ehrhorni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","Ceratina nanula","Ceratina nanula rigdenae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","Diadasia australis","Melissodes australis","Diadasia australis petrinus","Diadasia australis californica","Diadasia (Coquillettapis) australis petrinus Cockerell","Diadasia (Coquillettapis) australis californica Timberlake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
